id,source,source_fallout_id,error_code,creation_timestamp,due_date,status
'AFOM00043','ORDERMANAGER','ORDERMANAGER33881','ERROR2989','22/03/17 16:13','02/04/17 16:13','CREATED'
'AFOM00044','ORDERMANAGER','ORDERMANAGER10654','ERROR1030','23/03/17 03:23','03/04/17 03:23','CREATED'
'AFOM00045','COM','COM60100','ERROR5961','22/03/17 12:37','02/04/17 12:37','CREATED'
'AFOM00046','COM','COM8021','ERROR9852','13/03/17 16:13','24/03/17 16:13','CLOSED-SUCCESSFUL'
'AFOM00047','ORDERMANAGER','ORDERMANAGER50520','ERROR9581','14/03/17 08:39','25/03/17 08:39','CLOSED-SUCCESSFUL'
'AFOM00048','PNI','PNI82810','ERROR7645','17/03/17 07:36','28/03/17 07:36','CLOSED-SUCCESSFUL'
'AFOM00049','COM','COM33115','ERROR9201','14/03/17 07:43','25/03/17 07:43','CLOSED-SUCCESSFUL'
'AFOM00050','ORDERMANAGER','ORDERMANAGER48005','ERROR7573','18/03/17 01:44','29/03/17 01:44','STARTED'
'AFOM00051','PNI','PNI33295','ERROR8552','14/03/17 10:21','25/03/17 10:21','STARTED'
'AFOM00052','ORDERMANAGER','ORDERMANAGER46352','ERROR3106','14/03/17 22:06','25/03/17 22:06','CREATED'
'AFOM00053','COM','COM69040','ERROR2637','20/03/17 18:11','31/03/17 18:11','CLOSED-SUCCESSFUL'
'AFOM00054','ORDERMANAGER','ORDERMANAGER70575','ERROR1288','19/03/17 08:59','30/03/17 08:59','STARTED'
'AFOM00055','ORDERMANAGER','ORDERMANAGER49074','ERROR2022','14/03/17 11:22','25/03/17 11:22','STARTED'
'AFOM00056','PNI','PNI87730','ERROR9753','13/03/17 23:59','24/03/17 23:59','STARTED'
'AFOM00057','COM','COM42353','ERROR6083','13/03/17 12:20','24/03/17 12:20','STARTED'
'AFOM00058','COM','COM93365','ERROR8453','14/03/17 06:14','25/03/17 06:14','STARTED'
'AFOM00059','PNI','PNI22898','ERROR9855','22/03/17 08:59','02/04/17 08:59','CREATED'
'AFOM00060','PNI','PNI48413','ERROR9980','16/03/17 02:02','27/03/17 02:02','STARTED'
'AFOM00061','COM','COM88552','ERROR3357','16/03/17 01:28','27/03/17 01:28','STARTED'
'AFOM00062','ORDERMANAGER','ORDERMANAGER57212','ERROR4974','19/03/17 20:54','30/03/17 20:54','CLOSED-SUCCESSFUL'
'AFOM00063','ORDERMANAGER','ORDERMANAGER80543','ERROR8040','15/03/17 08:53','26/03/17 08:53','CREATED'
'AFOM00064','COM','COM43473','ERROR6832','21/03/17 05:37','01/04/17 05:37','CREATED'
'AFOM00065','ORDERMANAGER','ORDERMANAGER76795','ERROR5922','22/03/17 17:40','02/04/17 17:40','CLOSED-SUCCESSFUL'
'AFOM00066','COM','COM76141','ERROR8562','20/03/17 02:14','31/03/17 02:14','CREATED'
'AFOM00067','ORDERMANAGER','ORDERMANAGER35198','ERROR6564','22/03/17 10:12','02/04/17 10:12','CREATED'
'AFOM00068','ORDERMANAGER','ORDERMANAGER57380','ERROR4597','18/03/17 16:03','29/03/17 16:03','CLOSED-SUCCESSFUL'
'AFOM00069','PNI','PNI45078','ERROR9151','21/03/17 11:59','01/04/17 11:59','CREATED'
'AFOM00070','PNI','PNI3195','ERROR7644','20/03/17 07:37','31/03/17 07:37','CREATED'
'AFOM00071','ORDERMANAGER','ORDERMANAGER36531','ERROR9713','18/03/17 11:53','29/03/17 11:53','CLOSED-SUCCESSFUL'
'AFOM00072','ORDERMANAGER','ORDERMANAGER54250','ERROR5010','13/03/17 22:20','24/03/17 22:20','CLOSED-SUCCESSFUL'
'AFOM00073','COM','COM6143','ERROR4768','21/03/17 04:53','01/04/17 04:53','CLOSED-SUCCESSFUL'
'AFOM00074','COM','COM37850','ERROR8298','13/03/17 23:43','24/03/17 23:43','CLOSED-SUCCESSFUL'
'AFOM00075','COM','COM36981','ERROR2446','17/03/17 18:06','28/03/17 18:06','CREATED'
'AFOM00076','PNI','PNI8484','ERROR6074','23/03/17 05:32','03/04/17 05:32','STARTED'
'AFOM00077','PNI','PNI96512','ERROR4977','16/03/17 05:58','27/03/17 05:58','STARTED'
'AFOM00078','COM','COM91143','ERROR6965','18/03/17 05:50','29/03/17 05:50','CLOSED-SUCCESSFUL'
'AFOM00079','COM','COM6179','ERROR4156','16/03/17 05:13','27/03/17 05:13','STARTED'
'AFOM00080','PNI','PNI39496','ERROR8901','18/03/17 00:12','29/03/17 00:12','STARTED'
'AFOM00081','ORDERMANAGER','ORDERMANAGER70853','ERROR7554','14/03/17 18:04','25/03/17 18:04','CREATED'
'AFOM00082','COM','COM33519','ERROR3525','19/03/17 18:17','30/03/17 18:17','CREATED'
'AFOM00083','COM','COM65457','ERROR1811','16/03/17 13:54','27/03/17 13:54','CREATED'
'AFOM00084','ORDERMANAGER','ORDERMANAGER45232','ERROR8482','17/03/17 08:11','28/03/17 08:11','STARTED'
'AFOM00085','ORDERMANAGER','ORDERMANAGER30407','ERROR6866','14/03/17 18:29','25/03/17 18:29','STARTED'
'AFOM00086','PNI','PNI20423','ERROR5078','23/03/17 08:26','03/04/17 08:26','CREATED'
'AFOM00087','ORDERMANAGER','ORDERMANAGER66585','ERROR8156','16/03/17 05:47','27/03/17 05:47','CREATED'
'AFOM00088','ORDERMANAGER','ORDERMANAGER90751','ERROR6428','19/03/17 04:15','30/03/17 04:15','STARTED'
'AFOM00089','COM','COM6241','ERROR7038','15/03/17 14:19','26/03/17 14:19','STARTED'
'AFOM00090','ORDERMANAGER','ORDERMANAGER33781','ERROR1546','16/03/17 08:48','27/03/17 08:48','CREATED'
'AFOM00091','COM','COM43687','ERROR1954','23/03/17 02:03','03/04/17 02:03','CLOSED-SUCCESSFUL'
'AFOM00092','ORDERMANAGER','ORDERMANAGER59459','ERROR9558','17/03/17 05:45','28/03/17 05:45','CLOSED-SUCCESSFUL'
'AFOM00093','ORDERMANAGER','ORDERMANAGER54561','ERROR2732','17/03/17 22:05','28/03/17 22:05','STARTED'
'AFOM00094','COM','COM23860','ERROR3292','21/03/17 14:47','01/04/17 14:47','STARTED'
'AFOM00095','ORDERMANAGER','ORDERMANAGER89291','ERROR3583','14/03/17 08:25','25/03/17 08:25','CLOSED-SUCCESSFUL'
'AFOM00096','PNI','PNI35618','ERROR1113','23/03/17 06:52','03/04/17 06:52','CLOSED-SUCCESSFUL'
'AFOM00097','COM','COM82380','ERROR3933','18/03/17 03:42','29/03/17 03:42','CLOSED-SUCCESSFUL'
'AFOM00098','PNI','PNI97478','ERROR2992','16/03/17 12:19','27/03/17 12:19','CLOSED-SUCCESSFUL'
'AFOM00099','ORDERMANAGER','ORDERMANAGER35663','ERROR8697','16/03/17 01:14','27/03/17 01:14','STARTED'
'AFOM00100','ORDERMANAGER','ORDERMANAGER28370','ERROR1037','21/03/17 11:33','01/04/17 11:33','STARTED'
'AFOM00101','COM','COM39966','ERROR7696','18/03/17 04:56','29/03/17 04:56','STARTED'
'AFOM00102','ORDERMANAGER','ORDERMANAGER27773','ERROR6703','20/03/17 13:11','31/03/17 13:11','CREATED'
'AFOM00103','ORDERMANAGER','ORDERMANAGER48732','ERROR6897','16/03/17 21:08','27/03/17 21:08','STARTED'
'AFOM00104','COM','COM5512','ERROR1230','16/03/17 13:53','27/03/17 13:53','CLOSED-SUCCESSFUL'
'AFOM00105','ORDERMANAGER','ORDERMANAGER77340','ERROR7691','21/03/17 21:16','01/04/17 21:16','CREATED'
'AFOM00106','COM','COM59048','ERROR7813','20/03/17 16:39','31/03/17 16:39','CLOSED-SUCCESSFUL'
'AFOM00107','PNI','PNI36595','ERROR6666','23/03/17 09:27','03/04/17 09:27','CREATED'
'AFOM00108','PNI','PNI40654','ERROR3829','20/03/17 03:35','31/03/17 03:35','STARTED'
'AFOM00109','PNI','PNI84839','ERROR1460','21/03/17 07:51','01/04/17 07:51','CLOSED-SUCCESSFUL'
'AFOM00110','PNI','PNI29284','ERROR8722','18/03/17 20:07','29/03/17 20:07','CLOSED-SUCCESSFUL'
'AFOM00111','ORDERMANAGER','ORDERMANAGER21597','ERROR8343','15/03/17 19:39','26/03/17 19:39','CREATED'
'AFOM00112','COM','COM20014','ERROR9805','19/03/17 23:05','30/03/17 23:05','CLOSED-SUCCESSFUL'
'AFOM00113','PNI','PNI69734','ERROR1083','21/03/17 09:50','01/04/17 09:50','CLOSED-SUCCESSFUL'
'AFOM00114','COM','COM62740','ERROR4253','21/03/17 05:09','01/04/17 05:09','CREATED'
'AFOM00115','PNI','PNI19816','ERROR9765','19/03/17 12:41','30/03/17 12:41','CLOSED-SUCCESSFUL'
'AFOM00116','ORDERMANAGER','ORDERMANAGER59308','ERROR3681','19/03/17 23:01','30/03/17 23:01','CREATED'
'AFOM00117','ORDERMANAGER','ORDERMANAGER54591','ERROR5524','16/03/17 04:22','27/03/17 04:22','CLOSED-SUCCESSFUL'
'AFOM00118','ORDERMANAGER','ORDERMANAGER79564','ERROR6268','18/03/17 01:49','29/03/17 01:49','CREATED'
'AFOM00119','PNI','PNI34123','ERROR9428','23/03/17 04:04','03/04/17 04:04','STARTED'
'AFOM00120','COM','COM94501','ERROR5428','19/03/17 09:32','30/03/17 09:32','STARTED'
'AFOM00121','PNI','PNI34738','ERROR8596','19/03/17 23:22','30/03/17 23:22','CLOSED-SUCCESSFUL'
'AFOM00122','PNI','PNI98711','ERROR4974','21/03/17 02:22','01/04/17 02:22','CLOSED-SUCCESSFUL'
'AFOM00123','ORDERMANAGER','ORDERMANAGER21890','ERROR6213','20/03/17 05:02','31/03/17 05:02','CREATED'
'AFOM00124','COM','COM81130','ERROR9425','21/03/17 12:50','01/04/17 12:50','CREATED'
'AFOM00125','COM','COM97427','ERROR5345','14/03/17 06:14','25/03/17 06:14','CLOSED-SUCCESSFUL'
'AFOM00126','ORDERMANAGER','ORDERMANAGER85023','ERROR3225','16/03/17 01:31','27/03/17 01:31','CLOSED-SUCCESSFUL'
'AFOM00127','ORDERMANAGER','ORDERMANAGER67274','ERROR3999','19/03/17 18:03','30/03/17 18:03','CLOSED-SUCCESSFUL'
'AFOM00128','COM','COM92171','ERROR5310','14/03/17 20:53','25/03/17 20:53','CLOSED-SUCCESSFUL'
'AFOM00129','PNI','PNI90217','ERROR8673','23/03/17 08:38','03/04/17 08:38','CLOSED-SUCCESSFUL'
'AFOM00130','PNI','PNI84309','ERROR4030','19/03/17 05:34','30/03/17 05:34','STARTED'
'AFOM00131','COM','COM51257','ERROR3185','21/03/17 02:25','01/04/17 02:25','STARTED'
'AFOM00132','COM','COM58197','ERROR1676','21/03/17 00:58','01/04/17 00:58','CREATED'
'AFOM00133','COM','COM90686','ERROR7277','19/03/17 05:35','30/03/17 05:35','CREATED'
'AFOM00134','ORDERMANAGER','ORDERMANAGER63209','ERROR1307','15/03/17 14:08','26/03/17 14:08','STARTED'
'AFOM00135','ORDERMANAGER','ORDERMANAGER50633','ERROR4614','17/03/17 17:10','28/03/17 17:10','CLOSED-SUCCESSFUL'
'AFOM00136','ORDERMANAGER','ORDERMANAGER3297','ERROR1110','20/03/17 07:41','31/03/17 07:41','STARTED'
'AFOM00137','ORDERMANAGER','ORDERMANAGER83961','ERROR7588','22/03/17 02:38','02/04/17 02:38','STARTED'
'AFOM00138','PNI','PNI62280','ERROR7253','14/03/17 06:06','25/03/17 06:06','CLOSED-SUCCESSFUL'
'AFOM00139','PNI','PNI88045','ERROR6806','17/03/17 14:58','28/03/17 14:58','CREATED'
'AFOM00140','PNI','PNI97540','ERROR6281','22/03/17 20:31','02/04/17 20:31','CREATED'
'AFOM00141','ORDERMANAGER','ORDERMANAGER46103','ERROR4924','18/03/17 08:35','29/03/17 08:35','STARTED'
'AFOM00142','COM','COM53467','ERROR3665','17/03/17 06:32','28/03/17 06:32','CLOSED-SUCCESSFUL'
'AFOM00143','COM','COM10597','ERROR6766','23/03/17 07:57','03/04/17 07:57','CLOSED-SUCCESSFUL'
'AFOM00144','COM','COM9044','ERROR1577','17/03/17 10:49','28/03/17 10:49','STARTED'
'AFOM00145','PNI','PNI97966','ERROR2586','19/03/17 20:29','30/03/17 20:29','CLOSED-SUCCESSFUL'
'AFOM00146','PNI','PNI48916','ERROR4641','20/03/17 05:44','31/03/17 05:44','STARTED'
'AFOM00147','COM','COM20697','ERROR4807','19/03/17 13:39','30/03/17 13:39','CLOSED-SUCCESSFUL'
'AFOM00148','PNI','PNI78511','ERROR6757','18/03/17 05:33','29/03/17 05:33','CREATED'
'AFOM00149','COM','COM57819','ERROR9907','15/03/17 07:38','26/03/17 07:38','STARTED'
'AFOM00150','PNI','PNI19441','ERROR4938','20/03/17 20:01','31/03/17 20:01','CLOSED-SUCCESSFUL'
'AFOM00151','COM','COM72092','ERROR4723','17/03/17 16:36','28/03/17 16:36','CLOSED-SUCCESSFUL'
'AFOM00152','ORDERMANAGER','ORDERMANAGER16602','ERROR6922','16/03/17 22:55','27/03/17 22:55','STARTED'
'AFOM00153','COM','COM81712','ERROR3207','15/03/17 14:05','26/03/17 14:05','CLOSED-SUCCESSFUL'
'AFOM00154','COM','COM40588','ERROR4245','21/03/17 10:31','01/04/17 10:31','CREATED'
'AFOM00155','ORDERMANAGER','ORDERMANAGER14699','ERROR5827','18/03/17 00:01','29/03/17 00:01','CREATED'
'AFOM00156','ORDERMANAGER','ORDERMANAGER24895','ERROR9465','18/03/17 13:49','29/03/17 13:49','STARTED'
'AFOM00157','COM','COM18985','ERROR5736','22/03/17 11:29','02/04/17 11:29','CREATED'
'AFOM00158','PNI','PNI6184','ERROR4537','23/03/17 02:27','03/04/17 02:27','CLOSED-SUCCESSFUL'
'AFOM00159','ORDERMANAGER','ORDERMANAGER88648','ERROR2626','16/03/17 08:12','27/03/17 08:12','STARTED'
'AFOM00160','ORDERMANAGER','ORDERMANAGER37100','ERROR6701','14/03/17 09:00','25/03/17 09:00','CREATED'
'AFOM00161','PNI','PNI72440','ERROR9241','13/03/17 20:46','24/03/17 20:46','CLOSED-SUCCESSFUL'
'AFOM00162','COM','COM44982','ERROR6904','19/03/17 02:25','30/03/17 02:25','CREATED'
'AFOM00163','PNI','PNI87515','ERROR2797','17/03/17 08:56','28/03/17 08:56','STARTED'
'AFOM00164','PNI','PNI97535','ERROR7280','14/03/17 11:19','25/03/17 11:19','CLOSED-SUCCESSFUL'
'AFOM00165','ORDERMANAGER','ORDERMANAGER3600','ERROR4183','18/03/17 11:16','29/03/17 11:16','STARTED'
'AFOM00166','COM','COM95659','ERROR4108','22/03/17 06:23','02/04/17 06:23','STARTED'
'AFOM00167','COM','COM95897','ERROR3735','14/03/17 14:43','25/03/17 14:43','CREATED'
'AFOM00168','ORDERMANAGER','ORDERMANAGER94661','ERROR1552','22/03/17 10:27','02/04/17 10:27','CLOSED-SUCCESSFUL'
'AFOM00169','PNI','PNI14106','ERROR7254','13/03/17 12:11','24/03/17 12:11','STARTED'
'AFOM00170','COM','COM90607','ERROR5850','21/03/17 12:09','01/04/17 12:09','STARTED'
'AFOM00171','COM','COM82661','ERROR6484','18/03/17 16:30','29/03/17 16:30','STARTED'
'AFOM00172','COM','COM83408','ERROR5699','15/03/17 19:43','26/03/17 19:43','CLOSED-SUCCESSFUL'
'AFOM00173','PNI','PNI74896','ERROR7016','15/03/17 11:04','26/03/17 11:04','CLOSED-SUCCESSFUL'
'AFOM00174','ORDERMANAGER','ORDERMANAGER33484','ERROR8887','14/03/17 13:45','25/03/17 13:45','CLOSED-SUCCESSFUL'
'AFOM00175','COM','COM43346','ERROR7916','23/03/17 02:48','03/04/17 02:48','CLOSED-SUCCESSFUL'
'AFOM00176','COM','COM70873','ERROR7318','19/03/17 21:05','30/03/17 21:05','CLOSED-SUCCESSFUL'
'AFOM00177','PNI','PNI1287','ERROR3645','16/03/17 07:15','27/03/17 07:15','CLOSED-SUCCESSFUL'
'AFOM00178','PNI','PNI49308','ERROR2150','22/03/17 02:36','02/04/17 02:36','STARTED'
'AFOM00179','COM','COM76281','ERROR4772','20/03/17 10:07','31/03/17 10:07','STARTED'
'AFOM00180','COM','COM33741','ERROR4851','14/03/17 17:39','25/03/17 17:39','CREATED'
'AFOM00181','ORDERMANAGER','ORDERMANAGER61959','ERROR8376','17/03/17 04:09','28/03/17 04:09','CREATED'
'AFOM00182','PNI','PNI13505','ERROR3986','13/03/17 18:20','24/03/17 18:20','CREATED'
'AFOM00183','COM','COM30814','ERROR1939','15/03/17 17:25','26/03/17 17:25','CREATED'
'AFOM00184','COM','COM31669','ERROR1301','22/03/17 09:22','02/04/17 09:22','CREATED'
'AFOM00185','PNI','PNI30619','ERROR2401','21/03/17 03:56','01/04/17 03:56','CREATED'
'AFOM00186','PNI','PNI29640','ERROR2610','14/03/17 21:02','25/03/17 21:02','STARTED'
'AFOM00187','COM','COM16964','ERROR9744','22/03/17 07:12','02/04/17 07:12','CREATED'
'AFOM00188','ORDERMANAGER','ORDERMANAGER18156','ERROR5605','22/03/17 23:40','02/04/17 23:40','CLOSED-SUCCESSFUL'
'AFOM00189','ORDERMANAGER','ORDERMANAGER81942','ERROR6742','21/03/17 02:06','01/04/17 02:06','CREATED'
'AFOM00190','PNI','PNI79376','ERROR1067','21/03/17 01:44','01/04/17 01:44','CREATED'
'AFOM00191','ORDERMANAGER','ORDERMANAGER91498','ERROR9083','14/03/17 20:03','25/03/17 20:03','STARTED'
'AFOM00192','PNI','PNI32582','ERROR7538','22/03/17 06:44','02/04/17 06:44','STARTED'
'AFOM00193','ORDERMANAGER','ORDERMANAGER88847','ERROR9454','20/03/17 07:24','31/03/17 07:24','CLOSED-SUCCESSFUL'
'AFOM00194','PNI','PNI34178','ERROR6777','14/03/17 08:27','25/03/17 08:27','CREATED'
'AFOM00195','ORDERMANAGER','ORDERMANAGER46950','ERROR6849','17/03/17 00:22','28/03/17 00:22','CREATED'
'AFOM00196','COM','COM46174','ERROR7959','19/03/17 08:45','30/03/17 08:45','CREATED'
'AFOM00197','PNI','PNI4001','ERROR8419','19/03/17 02:46','30/03/17 02:46','CREATED'
'AFOM00198','PNI','PNI5292','ERROR8744','23/03/17 03:23','03/04/17 03:23','CLOSED-SUCCESSFUL'
'AFOM00199','PNI','PNI5848','ERROR2239','15/03/17 13:56','26/03/17 13:56','STARTED'
'AFOM00200','COM','COM72451','ERROR8210','21/03/17 16:38','01/04/17 16:38','CREATED'
'AFOM00201','PNI','PNI74946','ERROR3287','17/03/17 08:43','28/03/17 08:43','STARTED'
'AFOM00202','ORDERMANAGER','ORDERMANAGER92744','ERROR9243','23/03/17 01:43','03/04/17 01:43','CREATED'
'AFOM00203','PNI','PNI96935','ERROR7087','15/03/17 23:46','26/03/17 23:46','STARTED'
'AFOM00204','PNI','PNI20607','ERROR7869','16/03/17 00:17','27/03/17 00:17','CREATED'
'AFOM00205','COM','COM39481','ERROR9236','22/03/17 20:32','02/04/17 20:32','CREATED'
'AFOM00206','COM','COM29634','ERROR4812','18/03/17 13:18','29/03/17 13:18','STARTED'
'AFOM00207','COM','COM42673','ERROR5326','21/03/17 05:19','01/04/17 05:19','CLOSED-SUCCESSFUL'
'AFOM00208','PNI','PNI49253','ERROR5596','16/03/17 21:55','27/03/17 21:55','STARTED'
'AFOM00209','ORDERMANAGER','ORDERMANAGER6110','ERROR8777','17/03/17 20:16','28/03/17 20:16','CREATED'
'AFOM00210','ORDERMANAGER','ORDERMANAGER10097','ERROR4842','18/03/17 16:31','29/03/17 16:31','STARTED'
'AFOM00211','PNI','PNI1269','ERROR7357','20/03/17 19:53','31/03/17 19:53','CREATED'
'AFOM00212','ORDERMANAGER','ORDERMANAGER69161','ERROR9455','18/03/17 07:55','29/03/17 07:55','STARTED'
'AFOM00213','PNI','PNI70657','ERROR8069','16/03/17 12:11','27/03/17 12:11','STARTED'
'AFOM00214','COM','COM23578','ERROR9817','15/03/17 12:57','26/03/17 12:57','CREATED'
'AFOM00215','PNI','PNI18425','ERROR8441','21/03/17 21:49','01/04/17 21:49','STARTED'
'AFOM00216','PNI','PNI92129','ERROR4068','23/03/17 08:55','03/04/17 08:55','STARTED'
'AFOM00217','ORDERMANAGER','ORDERMANAGER61644','ERROR3460','17/03/17 13:30','28/03/17 13:30','STARTED'
'AFOM00218','PNI','PNI81475','ERROR5668','20/03/17 08:59','31/03/17 08:59','CREATED'
'AFOM00219','COM','COM17255','ERROR9203','16/03/17 12:48','27/03/17 12:48','CREATED'
'AFOM00220','COM','COM43776','ERROR2816','22/03/17 13:18','02/04/17 13:18','STARTED'
'AFOM00221','COM','COM13999','ERROR7777','18/03/17 12:53','29/03/17 12:53','STARTED'
'AFOM00222','COM','COM83095','ERROR9044','14/03/17 13:52','25/03/17 13:52','CREATED'
'AFOM00223','PNI','PNI71767','ERROR6972','21/03/17 21:07','01/04/17 21:07','STARTED'
'AFOM00224','COM','COM52983','ERROR6292','22/03/17 05:03','02/04/17 05:03','CREATED'
'AFOM00225','COM','COM21120','ERROR4300','20/03/17 06:55','31/03/17 06:55','CREATED'
'AFOM00226','ORDERMANAGER','ORDERMANAGER64717','ERROR3826','19/03/17 22:20','30/03/17 22:20','STARTED'
'AFOM00227','PNI','PNI97867','ERROR4351','17/03/17 22:57','28/03/17 22:57','CLOSED-SUCCESSFUL'
'AFOM00228','ORDERMANAGER','ORDERMANAGER95428','ERROR9799','20/03/17 01:33','31/03/17 01:33','CLOSED-SUCCESSFUL'
'AFOM00229','COM','COM93910','ERROR1057','17/03/17 15:22','28/03/17 15:22','CREATED'
'AFOM00230','PNI','PNI70711','ERROR7014','14/03/17 00:55','25/03/17 00:55','CLOSED-SUCCESSFUL'
'AFOM00231','PNI','PNI26201','ERROR6127','16/03/17 21:20','27/03/17 21:20','CLOSED-SUCCESSFUL'
'AFOM00232','ORDERMANAGER','ORDERMANAGER96704','ERROR7645','19/03/17 17:12','30/03/17 17:12','STARTED'
'AFOM00233','ORDERMANAGER','ORDERMANAGER41554','ERROR6038','15/03/17 19:52','26/03/17 19:52','CLOSED-SUCCESSFUL'
'AFOM00234','COM','COM95729','ERROR5930','21/03/17 13:47','01/04/17 13:47','STARTED'
'AFOM00235','COM','COM30693','ERROR8846','15/03/17 22:56','26/03/17 22:56','STARTED'
'AFOM00236','ORDERMANAGER','ORDERMANAGER35309','ERROR4424','16/03/17 02:08','27/03/17 02:08','CREATED'
'AFOM00237','ORDERMANAGER','ORDERMANAGER6168','ERROR4330','22/03/17 20:45','02/04/17 20:45','CREATED'
'AFOM00238','PNI','PNI6626','ERROR1738','22/03/17 05:56','02/04/17 05:56','STARTED'
'AFOM00239','PNI','PNI47874','ERROR9341','21/03/17 13:39','01/04/17 13:39','CLOSED-SUCCESSFUL'
