id,fallout_id,property_name,property_value
46,AFOM00012,ACCESS TYPE,'FTTN'
48,AFOM00013,ERROR DESCRIPTION,'Message to system XYZ timed out.'
49,AFOM00013,RFS ID,'RFS81406'
50,AFOM00013,CUSTOMER ID,'CUST00023566'
52,AFOM00014,LOCATION ID,'LOC000070676'
53,AFOM00014,CUSTOMER ID,'CUST00033255'
54,AFOM00014,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
56,AFOM00015,CUSTOMER ID,'CUST00077126'
57,AFOM00015,APPOINTMENT ID,'APPT0090381'
58,AFOM00015,LOCATION ID,'LOC000010042'
60,AFOM00016,LOCATION ID,'LOC000098666'
61,AFOM00016,ACCESS TYPE,'FTTN'
62,AFOM00016,RFS ID,'RFS41963'
63,AFOM00016,ERROR DESCRIPTION,'Response received from system abc not expected.'
64,AFOM00017,LOCATION ID,'LOC000032789'
65,AFOM00017,ACCESS TYPE,'HFC'
66,AFOM00017,RFS ID,'RFS97970'
67,AFOM00017,APPOINTMENT ID,'APPT0026317'
68,AFOM00018,ORDER ID,'ORD0008540'
70,AFOM00018,RFS ID,'RFS68936'
72,AFOM00019,ORDER ID,'ORD00067698'
73,AFOM00019,ACCESS TYPE,'FTTN'
75,AFOM00019,LOCATION ID,'LOC000055690'
76,AFOM00020,ACCESS TYPE,'HFC'
77,AFOM00020,LOCATION ID,'LOC000060197'
78,AFOM00020,CUSTOMER ID,'CUST00036595'
79,AFOM00021,ACCESS TYPE,'FIBER'
80,AFOM00021,LOCATION ID,'LOC000064697'
81,AFOM00021,RFS ID,'RFS61070'
82,AFOM00021,CUSTOMER ID,'CUST00024813'
83,AFOM00022,LOCATION ID,'LOC000014752'
84,AFOM00022,CUSTOMER ID,'CUST00068205'
86,AFOM00022,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
87,AFOM00023,LOCATION ID,'LOC000042068'
88,AFOM00023,ORDER ID,'ORD00012639'
89,AFOM00023,APPOINTMENT ID,'APPT0026723'
90,AFOM00023,RFS ID,'RFS62259'
91,AFOM00024,ACCESS TYPE,'FIBER'
93,AFOM00024,ERROR DESCRIPTION,'Message to system XYZ timed out.'
94,AFOM00024,APPOINTMENT ID,'APPT0099241'
95,AFOM00025,LOCATION ID,'LOC000068911'
96,AFOM00025,RFS ID,'RFS19613'
98,AFOM00025,ERROR DESCRIPTION,'Response received from system abc not expected.'
99,AFOM00026,RFS ID,'RFS68803'
100,AFOM00026,APPOINTMENT ID,'APPT0096437'
103,AFOM00027,APPOINTMENT ID,'APPT0074700'
104,AFOM00027,RFS ID,'RFS32993'
105,AFOM00027,ORDER ID,'ORD00070257'
106,AFOM00027,ACCESS TYPE,'SATELLITE'
107,AFOM00028,APPOINTMENT ID,'APPT0091998'
108,AFOM00028,ORDER ID,'ORD0007355'
110,AFOM00028,CUSTOMER ID,'CUST00045368'
111,AFOM00029,ORDER ID,'ORD00068999'
113,AFOM00029,CUSTOMER ID,'CUST00063529'
115,AFOM00030,ERROR DESCRIPTION,'The service type is not defined.'
116,AFOM00030,ORDER ID,'ORD00036362'
118,AFOM00031,RFS ID,'RFS73425'
119,AFOM00031,CUSTOMER ID,'CUST00063577'
120,AFOM00031,APPOINTMENT ID,'APPT0067825'
122,AFOM00032,LOCATION ID,'LOC000035186'
124,AFOM00032,CUSTOMER ID,'CUST00071741'
125,AFOM00032,ACCESS TYPE,'HFC'
126,AFOM00033,CUSTOMER ID,'CUST00045166'
127,AFOM00033,ORDER ID,'ORD00019863'
128,AFOM00033,APPOINTMENT ID,'APPT0071687'
129,AFOM00033,RFS ID,'RFS77303'
130,AFOM00034,ACCESS TYPE,'SATELLITE'
132,AFOM00034,CUSTOMER ID,'CUST00037161'
134,AFOM00035,APPOINTMENT ID,'APPT0078367'
135,AFOM00035,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
136,AFOM00035,CUSTOMER ID,'CUST00073356'
138,AFOM00036,ORDER ID,'ORD00010004'
140,AFOM00036,APPOINTMENT ID,'APPT0023979'
141,AFOM00036,ACCESS TYPE,'HFC'
142,AFOM00037,CUSTOMER ID,'CUST00045803'
143,AFOM00037,RFS ID,'RFS56547'
145,AFOM00037,ACCESS TYPE,'SATELLITE'
146,AFOM00038,ERROR DESCRIPTION,'The service type is not defined.'
147,AFOM00038,LOCATION ID,'LOC000086903'
148,AFOM00038,ACCESS TYPE,'SATELLITE'
149,AFOM00039,RFS ID,'RFS84406'
150,AFOM00039,ACCESS TYPE,'FTTN'
152,AFOM00040,LOCATION ID,'LOC000095955'
153,AFOM00040,APPOINTMENT ID,'APPT007036'
154,AFOM00040,ERROR DESCRIPTION,'Message to system XYZ timed out.'
155,AFOM00040,RFS ID,'RFS74057'
156,AFOM00041,ORDER ID,'ORD00076217'
158,AFOM00041,RFS ID,'RFS93772'
159,AFOM00042,RFS ID,'RFS79239'
161,AFOM00042,ORDER ID,'ORD00072753'
162,AFOM00042,ACCESS TYPE,'HFC'
163,AFOM00043,APPOINTMENT ID,'APPT0090521'
165,AFOM00043,CUSTOMER ID,'CUST00078106'
167,AFOM00044,ERROR DESCRIPTION,'There is already an open order for the service.'
168,AFOM00044,LOCATION ID,'LOC000092828'
169,AFOM00044,RFS ID,'RFS70399'
170,AFOM00044,APPOINTMENT ID,'APPT0044824'
171,AFOM00045,ERROR DESCRIPTION,'There is already an open order for the service.'
172,AFOM00045,LOCATION ID,'LOC00007634'
174,AFOM00045,ACCESS TYPE,'HFC'
175,AFOM00046,ORDER ID,'ORD00089195'
176,AFOM00046,CUSTOMER ID,'CUST00072012'
177,AFOM00046,RFS ID,'RFS62362'
179,AFOM00047,RFS ID,'RFS68105'
180,AFOM00047,ERROR DESCRIPTION,'Message to system XYZ timed out.'
181,AFOM00047,ORDER ID,'ORD00049413'
182,AFOM00047,LOCATION ID,'LOC000047235'
183,AFOM00048,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
184,AFOM00048,ORDER ID,'ORD00019016'
185,AFOM00048,LOCATION ID,'LOC000046803'
187,AFOM00049,ACCESS TYPE,'FTTN'
188,AFOM00049,ORDER ID,'ORD00031382'
189,AFOM00049,APPOINTMENT ID,'APPT0043730'
190,AFOM00049,CUSTOMER ID,'CUST00041234'
191,AFOM00050,LOCATION ID,'LOC00005268'
193,AFOM00050,ORDER ID,'ORD00011660'
194,AFOM00050,CUSTOMER ID,'CUST00015428'
195,AFOM00051,CUSTOMER ID,'CUST00065569'
197,AFOM00051,ORDER ID,'ORD00075738'
198,AFOM00052,LOCATION ID,'LOC000077545'
199,AFOM00052,ORDER ID,'ORD00023933'
201,AFOM00052,APPOINTMENT ID,'APPT0094630'
202,AFOM00053,ORDER ID,'ORD00074827'
203,AFOM00053,CUSTOMER ID,'CUST00059586'
204,AFOM00053,RFS ID,'RFS77600'
205,AFOM00053,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
206,AFOM00054,APPOINTMENT ID,'APPT0099662'
207,AFOM00054,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
208,AFOM00054,ORDER ID,'ORD00057613'
209,AFOM00054,ACCESS TYPE,'SATELLITE'
210,AFOM00055,RFS ID,'RFS78815'
211,AFOM00055,ORDER ID,'ORD0006499'
212,AFOM00055,APPOINTMENT ID,'APPT0095153'
214,AFOM00056,RFS ID,'RFS28526'
215,AFOM00056,ACCESS TYPE,'SATELLITE'
217,AFOM00056,LOCATION ID,'LOC000078174'
218,AFOM00057,CUSTOMER ID,'CUST00028281'
219,AFOM00057,ORDER ID,'ORD00068725'
220,AFOM00057,RFS ID,'RFS37007'
222,AFOM00058,RFS ID,'RFS83425'
223,AFOM00058,APPOINTMENT ID,'APPT0045095'
225,AFOM00059,RFS ID,'RFS47863'
227,AFOM00059,LOCATION ID,'LOC000044839'
228,AFOM00059,ACCESS TYPE,'FTTN'
229,AFOM00060,ACCESS TYPE,'HFC'
230,AFOM00060,ORDER ID,'ORD00092148'
231,AFOM00060,RFS ID,'RFS1410'
232,AFOM00060,LOCATION ID,'LOC00007133'
233,AFOM00061,LOCATION ID,'LOC000088789'
234,AFOM00061,RFS ID,'RFS59429'
236,AFOM00061,APPOINTMENT ID,'APPT0085544'
237,AFOM00062,LOCATION ID,'LOC000065822'
238,AFOM00062,ORDER ID,'ORD00032990'
239,AFOM00062,APPOINTMENT ID,'APPT0067511'
240,AFOM00062,RFS ID,'RFS19953'
241,AFOM00063,ORDER ID,'ORD00098591'
242,AFOM00063,RFS ID,'RFS20069'
243,AFOM00063,ERROR DESCRIPTION,'The service type is not defined.'
244,AFOM00063,LOCATION ID,'LOC000017434'
245,AFOM00064,APPOINTMENT ID,'APPT005109'
246,AFOM00064,CUSTOMER ID,'CUST00032309'
247,AFOM00064,ACCESS TYPE,'FTTN'
249,AFOM00065,ERROR DESCRIPTION,'The service type is not defined.'
250,AFOM00065,RFS ID,'RFS89498'
251,AFOM00065,ACCESS TYPE,'FTTN'
253,AFOM00066,CUSTOMER ID,'CUST0009107'
254,AFOM00066,ORDER ID,'ORD00027674'
255,AFOM00066,LOCATION ID,'LOC000041405'
256,AFOM00066,ERROR DESCRIPTION,'Response received from system abc not expected.'
257,AFOM00067,CUSTOMER ID,'CUST00025852'
258,AFOM00067,ACCESS TYPE,'FIBER'
260,AFOM00067,ERROR DESCRIPTION,'Response received from system abc not expected.'
261,AFOM00068,CUSTOMER ID,'CUST0005298'
262,AFOM00068,ORDER ID,'ORD00068593'
265,AFOM00069,APPOINTMENT ID,'APPT0083678'
266,AFOM00069,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
267,AFOM00069,LOCATION ID,'LOC000048900'
269,AFOM00070,ACCESS TYPE,'SATELLITE'
270,AFOM00070,CUSTOMER ID,'CUST00047683'
271,AFOM00070,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
273,AFOM00071,RFS ID,'RFS28824'
274,AFOM00071,ACCESS TYPE,'HFC'
275,AFOM00071,ERROR DESCRIPTION,'There is already an open order for the service.'
277,AFOM00072,ERROR DESCRIPTION,'Message to system XYZ timed out.'
278,AFOM00072,LOCATION ID,'LOC000076890'
279,AFOM00072,ACCESS TYPE,'HFC'
281,AFOM00073,ACCESS TYPE,'HFC'
282,AFOM00073,ERROR DESCRIPTION,'Message to system XYZ timed out.'
283,AFOM00073,ORDER ID,'ORD00090133'
285,AFOM00074,ORDER ID,'ORD00016708'
287,AFOM00074,ACCESS TYPE,'FIBER'
288,AFOM00075,ACCESS TYPE,'HFC'
289,AFOM00075,ORDER ID,'ORD00052455'
290,AFOM00075,LOCATION ID,'LOC000080746'
292,AFOM00076,ORDER ID,'ORD00088061'
293,AFOM00076,ERROR DESCRIPTION,'The service type is not defined.'
295,AFOM00076,APPOINTMENT ID,'APPT0089444'
296,AFOM00077,CUSTOMER ID,'CUST00076638'
297,AFOM00077,APPOINTMENT ID,'APPT0076142'
298,AFOM00077,ACCESS TYPE,'HFC'
299,AFOM00077,LOCATION ID,'LOC000083995'
300,AFOM00078,ORDER ID,'ORD00068468'
301,AFOM00078,RFS ID,'RFS46199'
302,AFOM00078,LOCATION ID,'LOC000047664'
303,AFOM00078,CUSTOMER ID,'CUST00014948'
304,AFOM00079,LOCATION ID,'LOC00009597'
305,AFOM00079,CUSTOMER ID,'CUST00079183'
307,AFOM00079,RFS ID,'RFS92920'
308,AFOM00080,CUSTOMER ID,'CUST00055684'
309,AFOM00080,ACCESS TYPE,'FIBER'
310,AFOM00080,RFS ID,'RFS83500'
312,AFOM00081,ACCESS TYPE,'SATELLITE'
313,AFOM00081,APPOINTMENT ID,'APPT0090097'
314,AFOM00081,LOCATION ID,'LOC000015786'
315,AFOM00081,ORDER ID,'ORD00068404'
316,AFOM00082,ERROR DESCRIPTION,'There is already an open order for the service.'
317,AFOM00082,RFS ID,'RFS57802'
318,AFOM00082,ACCESS TYPE,'FTTN'
319,AFOM00082,LOCATION ID,'LOC000052125'
320,AFOM00083,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
322,AFOM00083,APPOINTMENT ID,'APPT0013227'
323,AFOM00083,ORDER ID,'ORD00025807'
324,AFOM00084,ORDER ID,'ORD00096599'
325,AFOM00084,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
326,AFOM00084,RFS ID,'RFS47273'
327,AFOM00084,APPOINTMENT ID,'APPT0042381'
328,AFOM00085,CUSTOMER ID,'CUST00063930'
329,AFOM00085,LOCATION ID,'LOC000091176'
330,AFOM00085,ACCESS TYPE,'HFC'
331,AFOM00085,APPOINTMENT ID,'APPT0075674'
332,AFOM00086,APPOINTMENT ID,'APPT0077283'
333,AFOM00086,LOCATION ID,'LOC000086159'
334,AFOM00086,CUSTOMER ID,'CUST00026774'
335,AFOM00086,ACCESS TYPE,'FTTN'
336,AFOM00087,ACCESS TYPE,'FTTN'
337,AFOM00087,APPOINTMENT ID,'APPT0068822'
338,AFOM00087,CUSTOMER ID,'CUST00016864'
339,AFOM00087,LOCATION ID,'LOC000049185'
340,AFOM00088,APPOINTMENT ID,'APPT0044782'
341,AFOM00088,LOCATION ID,'LOC000084885'
342,AFOM00088,ACCESS TYPE,'FTTN'
343,AFOM00088,ORDER ID,'ORD00052520'
344,AFOM00089,ERROR DESCRIPTION,'Message to system XYZ timed out.'
345,AFOM00089,ACCESS TYPE,'FIBER'
346,AFOM00089,APPOINTMENT ID,'APPT0027293'
347,AFOM00090,RFS ID,'RFS63709'
349,AFOM00090,APPOINTMENT ID,'APPT0056293'
351,AFOM00091,ERROR DESCRIPTION,'Message to system XYZ timed out.'
352,AFOM00091,ORDER ID,'ORD00067065'
353,AFOM00091,CUSTOMER ID,'CUST00060175'
355,AFOM00092,LOCATION ID,'LOC000095395'
356,AFOM00092,APPOINTMENT ID,'APPT0060087'
357,AFOM00092,CUSTOMER ID,'CUST00072514'
359,AFOM00093,ERROR DESCRIPTION,'The service type is not defined.'
360,AFOM00093,APPOINTMENT ID,'APPT0011526'
361,AFOM00093,LOCATION ID,'LOC000079395'
362,AFOM00093,RFS ID,'RFS62191'
363,AFOM00094,LOCATION ID,'LOC000082060'
364,AFOM00094,ACCESS TYPE,'FIBER'
365,AFOM00094,ERROR DESCRIPTION,'The service type is not defined.'
367,AFOM00095,ACCESS TYPE,'FTTN'
368,AFOM00095,ORDER ID,'ORD00047903'
370,AFOM00096,ORDER ID,'ORD00092991'
371,AFOM00096,LOCATION ID,'LOC000061179'
372,AFOM00096,ACCESS TYPE,'FIBER'
373,AFOM00096,ERROR DESCRIPTION,'The service type is not defined.'
374,AFOM00097,RFS ID,'RFS24638'
375,AFOM00097,ACCESS TYPE,'FIBER'
376,AFOM00097,APPOINTMENT ID,'APPT0096544'
377,AFOM00097,LOCATION ID,'LOC000055734'
378,AFOM00098,ORDER ID,'ORD00018863'
379,AFOM00098,ERROR DESCRIPTION,'Response received from system abc not expected.'
380,AFOM00098,RFS ID,'RFS36707'
382,AFOM00099,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
383,AFOM00099,RFS ID,'RFS66977'
384,AFOM00099,LOCATION ID,'LOC000081799'
385,AFOM00099,CUSTOMER ID,'CUST00082927'
386,AFOM00100,RFS ID,'RFS87919'
387,AFOM00100,ORDER ID,'ORD00022833'
389,AFOM00100,APPOINTMENT ID,'APPT0057775'
390,AFOM00101,ORDER ID,'ORD00065916'
391,AFOM00101,RFS ID,'RFS13394'
392,AFOM00101,LOCATION ID,'LOC000044590'
393,AFOM00102,ACCESS TYPE,'SATELLITE'
394,AFOM00102,LOCATION ID,'LOC000083931'
397,AFOM00103,ACCESS TYPE,'FIBER'
398,AFOM00103,RFS ID,'RFS37513'
399,AFOM00103,ERROR DESCRIPTION,'Message to system XYZ timed out.'
400,AFOM00103,LOCATION ID,'LOC000035699'
401,AFOM00104,ACCESS TYPE,'FIBER'
403,AFOM00104,ORDER ID,'ORD00059910'
405,AFOM00105,ACCESS TYPE,'HFC'
406,AFOM00105,CUSTOMER ID,'CUST00098332'
407,AFOM00105,ORDER ID,'ORD00040955'
409,AFOM00106,ORDER ID,'ORD00031652'
410,AFOM00106,RFS ID,'RFS92512'
411,AFOM00106,APPOINTMENT ID,'APPT0013987'
412,AFOM00106,ACCESS TYPE,'SATELLITE'
413,AFOM00107,LOCATION ID,'LOC000027194'
414,AFOM00107,CUSTOMER ID,'CUST00086289'
415,AFOM00107,ORDER ID,'ORD00012401'
417,AFOM00108,APPOINTMENT ID,'APPT005119'
418,AFOM00108,ERROR DESCRIPTION,'Message to system XYZ timed out.'
419,AFOM00108,RFS ID,'RFS70704'
421,AFOM00109,LOCATION ID,'LOC000086620'
422,AFOM00109,ACCESS TYPE,'HFC'
424,AFOM00109,RFS ID,'RFS8543'
425,AFOM00110,CUSTOMER ID,'CUST00039002'
426,AFOM00110,ORDER ID,'ORD00069447'
428,AFOM00110,APPOINTMENT ID,'APPT0017301'
429,AFOM00111,APPOINTMENT ID,'APPT0072438'
430,AFOM00111,RFS ID,'RFS85525'
431,AFOM00111,CUSTOMER ID,'CUST00028631'
432,AFOM00111,ORDER ID,'ORD00030695'
433,AFOM00112,ORDER ID,'ORD00089533'
435,AFOM00112,APPOINTMENT ID,'APPT0020032'
436,AFOM00113,ACCESS TYPE,'SATELLITE'
437,AFOM00113,RFS ID,'RFS10506'
438,AFOM00113,APPOINTMENT ID,'APPT0026309'
439,AFOM00113,ORDER ID,'ORD00063301'
440,AFOM00114,ORDER ID,'ORD00093689'
441,AFOM00114,LOCATION ID,'LOC000055981'
442,AFOM00114,ACCESS TYPE,'SATELLITE'
443,AFOM00114,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
444,AFOM00115,ORDER ID,'ORD00016509'
445,AFOM00115,CUSTOMER ID,'CUST0003012'
446,AFOM00115,ERROR DESCRIPTION,'Message to system XYZ timed out.'
447,AFOM00115,ACCESS TYPE,'FIBER'
448,AFOM00116,APPOINTMENT ID,'APPT0099907'
449,AFOM00116,LOCATION ID,'LOC000049438'
450,AFOM00116,ACCESS TYPE,'HFC'
451,AFOM00116,RFS ID,'RFS86628'
452,AFOM00117,ERROR DESCRIPTION,'Response received from system abc not expected.'
453,AFOM00117,APPOINTMENT ID,'APPT0033818'
454,AFOM00117,ORDER ID,'ORD00048093'
456,AFOM00118,RFS ID,'RFS22938'
457,AFOM00118,CUSTOMER ID,'CUST00018095'
458,AFOM00118,ORDER ID,'ORD00050530'
460,AFOM00119,CUSTOMER ID,'CUST00011441'
461,AFOM00119,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
462,AFOM00119,RFS ID,'RFS15808'
464,AFOM00120,ACCESS TYPE,'FTTN'
465,AFOM00120,ORDER ID,'ORD00071673'
466,AFOM00120,LOCATION ID,'LOC000033602'
468,AFOM00121,ORDER ID,'ORD00027972'
469,AFOM00121,LOCATION ID,'LOC000029615'
470,AFOM00121,ACCESS TYPE,'SATELLITE'
471,AFOM00122,ORDER ID,'ORD00059535'
472,AFOM00122,CUSTOMER ID,'CUST00048172'
474,AFOM00122,APPOINTMENT ID,'APPT0077689'
475,AFOM00123,ORDER ID,'ORD00060177'
476,AFOM00123,RFS ID,'RFS48650'
477,AFOM00123,ACCESS TYPE,'FIBER'
478,AFOM00123,ERROR DESCRIPTION,'There is already an open order for the service.'
479,AFOM00124,ACCESS TYPE,'FIBER'
480,AFOM00124,RFS ID,'RFS41765'
481,AFOM00124,APPOINTMENT ID,'APPT0048111'
483,AFOM00125,ACCESS TYPE,'FIBER'
484,AFOM00125,APPOINTMENT ID,'APPT0068817'
485,AFOM00125,ERROR DESCRIPTION,'Message to system XYZ timed out.'
487,AFOM00126,ERROR DESCRIPTION,'Message to system XYZ timed out.'
490,AFOM00126,APPOINTMENT ID,'APPT0050080'
491,AFOM00127,LOCATION ID,'LOC000012938'
492,AFOM00127,ACCESS TYPE,'FIBER'
493,AFOM00127,ERROR DESCRIPTION,'The service type is not defined.'
494,AFOM00127,CUSTOMER ID,'CUST00050900'
495,AFOM00128,ERROR DESCRIPTION,'The service type is not defined.'
496,AFOM00128,RFS ID,'RFS91192'
497,AFOM00128,APPOINTMENT ID,'APPT008528'
498,AFOM00128,LOCATION ID,'LOC000050027'
499,AFOM00129,RFS ID,'RFS16874'
500,AFOM00129,ERROR DESCRIPTION,'Message to system XYZ timed out.'
502,AFOM00129,ORDER ID,'ORD00065103'
503,AFOM00130,ACCESS TYPE,'SATELLITE'
504,AFOM00130,ORDER ID,'ORD00088286'
505,AFOM00130,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
506,AFOM00130,LOCATION ID,'LOC000090837'
507,AFOM00131,ORDER ID,'ORD00089139'
508,AFOM00131,LOCATION ID,'LOC000087523'
509,AFOM00131,ACCESS TYPE,'HFC'
510,AFOM00131,ERROR DESCRIPTION,'Message to system XYZ timed out.'
511,AFOM00132,ERROR DESCRIPTION,'There is already an open order for the service.'
512,AFOM00132,CUSTOMER ID,'CUST00054154'
513,AFOM00132,LOCATION ID,'LOC00009950'
514,AFOM00132,APPOINTMENT ID,'APPT0099538'
515,AFOM00133,ORDER ID,'ORD00052129'
516,AFOM00133,ACCESS TYPE,'SATELLITE'
517,AFOM00133,LOCATION ID,'LOC00003346'
518,AFOM00133,ERROR DESCRIPTION,'The service type is not defined.'
519,AFOM00134,ACCESS TYPE,'FIBER'
520,AFOM00134,CUSTOMER ID,'CUST00050476'
521,AFOM00134,RFS ID,'RFS50396'
522,AFOM00134,ORDER ID,'ORD00095511'
523,AFOM00135,ERROR DESCRIPTION,'Response received from system abc not expected.'
524,AFOM00135,LOCATION ID,'LOC000069299'
525,AFOM00135,ACCESS TYPE,'FIBER'
526,AFOM00135,CUSTOMER ID,'CUST00038331'
527,AFOM00136,RFS ID,'RFS6622'
528,AFOM00136,ERROR DESCRIPTION,'Message to system XYZ timed out.'
529,AFOM00136,ORDER ID,'ORD00073129'
531,AFOM00137,ORDER ID,'ORD00025373'
532,AFOM00137,RFS ID,'RFS69828'
533,AFOM00137,ACCESS TYPE,'FIBER'
535,AFOM00138,APPOINTMENT ID,'APPT007819'
536,AFOM00138,ORDER ID,'ORD0007459'
538,AFOM00139,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
539,AFOM00139,CUSTOMER ID,'CUST00048597'
540,AFOM00139,ACCESS TYPE,'HFC'
542,AFOM00140,RFS ID,'RFS18282'
543,AFOM00140,ORDER ID,'ORD00065246'
544,AFOM00140,LOCATION ID,'LOC000080542'
545,AFOM00140,ACCESS TYPE,'FIBER'
546,AFOM00141,ORDER ID,'ORD00021682'
547,AFOM00141,APPOINTMENT ID,'APPT0035124'
548,AFOM00141,ERROR DESCRIPTION,'The service type is not defined.'
549,AFOM00141,CUSTOMER ID,'CUST00080129'
550,AFOM00142,ACCESS TYPE,'HFC'
551,AFOM00142,CUSTOMER ID,'CUST00080845'
554,AFOM00143,APPOINTMENT ID,'APPT0046381'
555,AFOM00143,ERROR DESCRIPTION,'The service type is not defined.'
556,AFOM00143,RFS ID,'RFS5169'
558,AFOM00144,APPOINTMENT ID,'APPT0085815'
559,AFOM00144,ACCESS TYPE,'SATELLITE'
560,AFOM00144,ORDER ID,'ORD00025579'
561,AFOM00144,CUSTOMER ID,'CUST00045105'
562,AFOM00145,ACCESS TYPE,'SATELLITE'
564,AFOM00145,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
565,AFOM00145,LOCATION ID,'LOC000048562'
566,AFOM00146,LOCATION ID,'LOC000063880'
567,AFOM00146,APPOINTMENT ID,'APPT0051799'
568,AFOM00146,ERROR DESCRIPTION,'There is already an open order for the service.'
569,AFOM00147,APPOINTMENT ID,'APPT0053976'
570,AFOM00147,ACCESS TYPE,'FTTN'
572,AFOM00147,LOCATION ID,'LOC000079525'
573,AFOM00148,ACCESS TYPE,'FTTN'
574,AFOM00148,CUSTOMER ID,'CUST00034229'
575,AFOM00148,APPOINTMENT ID,'APPT0051103'
576,AFOM00148,ORDER ID,'ORD00071509'
577,AFOM00149,ACCESS TYPE,'FIBER'
579,AFOM00149,APPOINTMENT ID,'APPT0043242'
580,AFOM00149,LOCATION ID,'LOC000093932'
581,AFOM00150,LOCATION ID,'LOC000065724'
582,AFOM00150,ACCESS TYPE,'FTTN'
583,AFOM00150,CUSTOMER ID,'CUST00089924'
584,AFOM00150,RFS ID,'RFS95989'
585,AFOM00151,CUSTOMER ID,'CUST00053868'
588,AFOM00151,RFS ID,'RFS55720'
589,AFOM00152,ERROR DESCRIPTION,'The service type is not defined.'
590,AFOM00152,ACCESS TYPE,'SATELLITE'
592,AFOM00152,CUSTOMER ID,'CUST0008050'
593,AFOM00153,ACCESS TYPE,'FTTN'
594,AFOM00153,CUSTOMER ID,'CUST00029265'
595,AFOM00153,APPOINTMENT ID,'APPT008982'
596,AFOM00153,LOCATION ID,'LOC00009650'
597,AFOM00154,ERROR DESCRIPTION,'Error encoutnered while processing response from ABC.'
598,AFOM00154,CUSTOMER ID,'CUST00098210'
599,AFOM00154,ORDER ID,'ORD00063999'
601,AFOM00155,CUSTOMER ID,'CUST00056742'
602,AFOM00155,LOCATION ID,'LOC000056194'
603,AFOM00155,ACCESS TYPE,'HFC'
605,AFOM00156,ACCESS TYPE,'HFC'
606,AFOM00156,ORDER ID,'ORD00087685'
608,AFOM00156,RFS ID,'RFS20093'
609,AFOM00157,CUSTOMER ID,'CUST00098564'
610,AFOM00157,ORDER ID,'ORD00050208'
612,AFOM00158,ERROR DESCRIPTION,'The service type is not defined.'
614,AFOM00158,ORDER ID,'ORD00092439'
616,AFOM00159,LOCATION ID,'LOC000064920'
