id,source_system,source_fallout_id,source_error_code,creation_date,due_date,status
AFOM00030,COM,COM26708,ERROR1108,2015-06-30 22:32:14,2015-07-11 22:32:14,CLOSED-FAILURE
AFOM00031,PNI,PNI42346,ERROR1002,2016-03-09 20:09:59,2016-03-20 20:09:59,CLOSED-FAILURE
AFOM00032,COM,COM93659,ERROR1101,2016-02-09 13:41:13,2016-02-20 13:41:13,ERROR
AFOM00033,PNI,PNI96680,ERROR1001,2016-09-07 05:15:29,2016-09-18 05:15:29,STARTED
AFOM00034,PNI,PNI19002,ERROR1012,2016-04-04 13:59:11,2016-04-15 13:59:11,CLOSED-SUCCESSFUL
AFOM00035,ORDERMANAGER,ORDERMANAGER15556,ERROR1211,2015-07-15 02:58:57,2015-07-26 02:58:57,CLOSED-SUCCESSFUL
AFOM00036,PNI,PNI95335,ERROR1007,2016-07-07 11:52:00,2016-07-18 11:52:00,CREATED
AFOM00037,COM,COM80556,ERROR1109,2015-11-21 12:12:18,2015-12-02 12:12:18,STARTED
AFOM00038,PNI,PNI57576,ERROR1009,2016-11-03 09:32:29,2016-11-14 09:32:29,CLOSED-SUCCESSFUL
AFOM00039,COM,COM21620,ERROR1104,2016-07-07 14:22:34,2016-07-18 14:22:34,CLOSED-SUCCESSFUL
AFOM00040,COM,COM40034,ERROR1102,2016-12-12 22:24:09,2016-12-23 22:24:09,CREATED
AFOM00041,ORDERMANAGER,ORDERMANAGER5888,ERROR1201,2016-10-05 09:20:55,2016-10-16 09:20:55,CREATED
AFOM00042,PNI,PNI11178,ERROR1008,2017-02-24 09:04:27,2017-03-07 09:04:27,CLOSED-FAILURE
AFOM00043,PNI,PNI96376,ERROR1009,2017-02-25 18:48:15,2017-03-08 18:48:15,STARTED
AFOM00044,COM,COM60648,ERROR1102,2015-09-24 14:31:32,2015-10-05 14:31:32,ERROR
AFOM00045,COM,COM55375,ERROR1103,2015-10-05 12:29:56,2015-10-16 12:29:56,STARTED
AFOM00046,PNI,PNI82287,ERROR1003,2015-07-26 23:07:04,2015-08-06 23:07:04,CLOSED-SUCCESSFUL
AFOM00047,PNI,PNI14349,ERROR1007,2016-05-04 17:15:47,2016-05-15 17:15:47,CREATED
AFOM00048,PNI,PNI43440,ERROR1001,2016-02-04 11:27:00,2016-02-15 11:27:00,CLOSED-FAILURE
AFOM00049,ORDERMANAGER,ORDERMANAGER23701,ERROR1207,2016-09-22 02:47:02,2016-10-03 02:47:02,ERROR
AFOM00050,ORDERMANAGER,ORDERMANAGER76559,ERROR1215,2016-10-18 17:39:17,2016-10-29 17:39:17,STARTED
AFOM00051,COM,COM83390,ERROR1106,2016-07-10 08:50:49,2016-07-21 08:50:49,CLOSED-SUCCESSFUL
AFOM00052,ORDERMANAGER,ORDERMANAGER16914,ERROR1211,2016-05-25 02:25:56,2016-06-05 02:25:56,STARTED
AFOM00053,COM,COM11315,ERROR1104,2015-05-12 02:54:44,2015-05-23 02:54:44,ERROR
AFOM00054,ORDERMANAGER,ORDERMANAGER57307,ERROR1201,2015-08-21 13:51:51,2015-09-01 13:51:51,CREATED
AFOM00055,COM,COM41562,ERROR1109,2015-07-25 10:41:38,2015-08-05 10:41:38,CLOSED-SUCCESSFUL
AFOM00056,COM,COM24185,ERROR1113,2016-08-07 19:44:08,2016-08-18 19:44:08,CLOSED-FAILURE
AFOM00057,COM,COM32803,ERROR1104,2016-01-03 01:00:48,2016-01-14 01:00:48,STARTED
AFOM00058,COM,COM53346,ERROR1110,2015-11-02 11:13:39,2015-11-13 11:13:39,ERROR
AFOM00059,ORDERMANAGER,ORDERMANAGER33042,ERROR1205,2015-08-03 17:04:12,2015-08-14 17:04:12,ERROR
AFOM00060,PNI,PNI84268,ERROR1013,2016-11-11 04:01:52,2016-11-22 04:01:52,CLOSED-SUCCESSFUL
AFOM00061,ORDERMANAGER,ORDERMANAGER25792,ERROR1207,2016-01-31 21:03:26,2016-02-11 21:03:26,ERROR
AFOM00062,PNI,PNI80433,ERROR1003,2015-12-10 15:14:44,2015-12-21 15:14:44,STARTED
AFOM00063,ORDERMANAGER,ORDERMANAGER97088,ERROR1208,2017-03-05 19:54:28,2017-03-16 19:54:28,STARTED
AFOM00064,ORDERMANAGER,ORDERMANAGER20323,ERROR1207,2015-12-14 07:33:11,2015-12-25 07:33:11,STARTED
AFOM00065,PNI,PNI77237,ERROR1003,2016-08-17 05:09:58,2016-08-28 05:09:58,CLOSED-SUCCESSFUL
AFOM00066,PNI,PNI44412,ERROR1007,2016-05-12 15:12:02,2016-05-23 15:12:02,CLOSED-SUCCESSFUL
AFOM00067,COM,COM85648,ERROR1108,2016-06-13 07:19:18,2016-06-24 07:19:18,CLOSED-SUCCESSFUL
AFOM00068,COM,COM91376,ERROR1103,2016-01-27 13:30:10,2016-02-07 13:30:10,CLOSED-SUCCESSFUL
AFOM00069,ORDERMANAGER,ORDERMANAGER54317,ERROR1209,2016-03-13 06:52:46,2016-03-24 06:52:46,CLOSED-SUCCESSFUL
AFOM00070,PNI,PNI86606,ERROR1012,2016-04-11 16:58:06,2016-04-22 16:58:06,CLOSED-SUCCESSFUL
AFOM00071,COM,COM87073,ERROR1111,2015-07-11 21:12:35,2015-07-22 21:12:35,CLOSED-FAILURE
AFOM00072,COM,COM84274,ERROR1115,2015-10-13 08:20:38,2015-10-24 08:20:38,CREATED
AFOM00073,PNI,PNI13010,ERROR1008,2016-03-02 04:55:19,2016-03-13 04:55:19,STARTED
AFOM00074,PNI,PNI43473,ERROR1003,2015-11-13 11:57:05,2015-11-24 11:57:05,CLOSED-SUCCESSFUL
AFOM00075,PNI,PNI25617,ERROR1002,2016-03-25 07:50:39,2016-04-05 07:50:39,CLOSED-SUCCESSFUL
AFOM00076,COM,COM38684,ERROR1114,2016-08-07 21:36:39,2016-08-18 21:36:39,CLOSED-FAILURE
AFOM00077,COM,COM42239,ERROR1101,2017-03-09 07:47:31,2017-03-20 07:47:31,CREATED
AFOM00078,COM,COM30186,ERROR1109,2017-04-12 11:28:04,2017-04-23 11:28:04,CLOSED-SUCCESSFUL
AFOM00079,PNI,PNI37507,ERROR1008,2015-08-06 21:20:15,2015-08-17 21:20:15,CLOSED-SUCCESSFUL
AFOM00080,PNI,PNI14497,ERROR1013,2015-06-30 07:05:24,2015-07-11 07:05:24,CLOSED-SUCCESSFUL
AFOM00081,COM,COM53206,ERROR1102,2016-03-23 14:06:55,2016-04-03 14:06:55,ERROR
AFOM00082,COM,COM72906,ERROR1103,2017-04-09 03:06:22,2017-04-20 03:06:22,CLOSED-FAILURE
AFOM00083,COM,COM88778,ERROR1109,2017-02-07 22:29:23,2017-02-18 22:29:23,CLOSED-FAILURE
AFOM00084,COM,COM72785,ERROR1104,2017-02-03 16:52:12,2017-02-14 16:52:12,CLOSED-SUCCESSFUL
AFOM00085,PNI,PNI60382,ERROR1008,2017-02-12 19:09:05,2017-02-23 19:09:05,ERROR
AFOM00086,COM,COM65987,ERROR1108,2017-03-29 20:49:17,2017-04-09 20:49:17,CLOSED-FAILURE
AFOM00087,COM,COM75013,ERROR1104,2016-06-17 14:00:31,2016-06-28 14:00:31,CLOSED-SUCCESSFUL
AFOM00088,COM,COM72594,ERROR1104,2015-08-03 17:22:30,2015-08-14 17:22:30,STARTED
AFOM00089,PNI,PNI22619,ERROR1013,2016-04-03 22:01:32,2016-04-14 22:01:32,CREATED
AFOM00090,PNI,PNI36129,ERROR1004,2016-09-05 03:07:34,2016-09-16 03:07:34,STARTED
AFOM00091,ORDERMANAGER,ORDERMANAGER12718,ERROR1205,2015-06-05 17:37:34,2015-06-16 17:37:34,ERROR
AFOM00092,COM,COM68232,ERROR1101,2016-03-27 22:56:01,2016-04-07 22:56:01,ERROR
AFOM00093,ORDERMANAGER,ORDERMANAGER36110,ERROR1215,2017-01-03 20:51:41,2017-01-14 20:51:41,STARTED
AFOM00094,PNI,PNI53621,ERROR1007,2016-10-22 04:27:04,2016-11-02 04:27:04,CREATED
AFOM00095,PNI,PNI89498,ERROR1005,2017-05-07 04:38:07,2017-05-18 04:38:07,ERROR
AFOM00096,COM,COM81103,ERROR1113,2016-06-03 02:14:50,2016-06-14 02:14:50,STARTED
AFOM00097,PNI,PNI20757,ERROR1002,2016-06-05 01:04:07,2016-06-16 01:04:07,STARTED
AFOM00098,ORDERMANAGER,ORDERMANAGER34609,ERROR1202,2016-03-08 15:40:34,2016-03-19 15:40:34,CLOSED-FAILURE
AFOM00099,ORDERMANAGER,ORDERMANAGER74368,ERROR1205,2015-09-21 17:17:38,2015-10-02 17:17:38,STARTED
AFOM00100,COM,COM83581,ERROR1107,2017-01-21 09:34:58,2017-02-01 09:34:58,CLOSED-SUCCESSFUL
AFOM00101,PNI,PNI72545,ERROR1015,2016-12-10 16:00:40,2016-12-21 16:00:40,CLOSED-SUCCESSFUL
AFOM00102,PNI,PNI46583,ERROR1003,2015-10-07 09:54:14,2015-10-18 09:54:14,CREATED
AFOM00103,ORDERMANAGER,ORDERMANAGER34132,ERROR1203,2015-06-13 10:42:49,2015-06-24 10:42:49,CLOSED-SUCCESSFUL
AFOM00104,ORDERMANAGER,ORDERMANAGER65487,ERROR1204,2015-05-17 02:50:54,2015-05-28 02:50:54,CREATED
AFOM00105,PNI,PNI25809,ERROR1003,2016-03-07 08:21:52,2016-03-18 08:21:52,CREATED
AFOM00106,ORDERMANAGER,ORDERMANAGER92583,ERROR1209,2015-06-28 19:31:34,2015-07-09 19:31:34,STARTED
AFOM00107,PNI,PNI31077,ERROR1001,2017-02-03 10:13:49,2017-02-14 10:13:49,CREATED
AFOM00108,PNI,PNI19330,ERROR1008,2016-08-22 03:54:27,2016-09-02 03:54:27,CLOSED-SUCCESSFUL
AFOM00109,ORDERMANAGER,ORDERMANAGER45242,ERROR1208,2015-06-04 18:51:09,2015-06-15 18:51:09,STARTED
AFOM00110,PNI,PNI84793,ERROR1006,2016-03-25 19:33:55,2016-04-05 19:33:55,ERROR
AFOM00111,PNI,PNI44033,ERROR1005,2016-05-23 10:36:50,2016-06-03 10:36:50,CREATED
AFOM00112,PNI,PNI73465,ERROR1003,2016-05-13 14:58:50,2016-05-24 14:58:50,CLOSED-FAILURE
AFOM00113,COM,COM26693,ERROR1114,2015-10-29 22:19:24,2015-11-09 22:19:24,CLOSED-SUCCESSFUL
AFOM00114,COM,COM42137,ERROR1111,2016-08-24 09:40:21,2016-09-04 09:40:21,CLOSED-FAILURE
AFOM00115,PNI,PNI9972,ERROR1004,2017-03-05 21:46:05,2017-03-16 21:46:05,CLOSED-FAILURE
AFOM00116,COM,COM50753,ERROR1102,2016-11-11 14:59:13,2016-11-22 14:59:13,CREATED
AFOM00117,PNI,PNI12595,ERROR1008,2016-04-18 14:00:01,2016-04-29 14:00:01,CLOSED-FAILURE
AFOM00118,PNI,PNI70101,ERROR1008,2016-07-07 15:00:12,2016-07-18 15:00:12,CLOSED-FAILURE
AFOM00119,ORDERMANAGER,ORDERMANAGER50824,ERROR1215,2017-01-02 14:39:51,2017-01-13 14:39:51,STARTED
AFOM00120,COM,COM45090,ERROR1113,2017-03-03 08:28:57,2017-03-14 08:28:57,CREATED
AFOM00121,COM,COM62188,ERROR1113,2016-11-02 17:38:25,2016-11-13 17:38:25,STARTED
AFOM00122,COM,COM27196,ERROR1108,2015-10-17 23:25:43,2015-10-28 23:25:43,STARTED
AFOM00123,COM,COM62097,ERROR1107,2015-09-13 12:53:10,2015-09-24 12:53:10,CLOSED-SUCCESSFUL
AFOM00124,COM,COM99328,ERROR1114,2016-10-14 23:34:42,2016-10-25 23:34:42,STARTED
AFOM00125,PNI,PNI20750,ERROR1010,2016-03-24 21:49:00,2016-04-04 21:49:00,STARTED
AFOM00126,ORDERMANAGER,ORDERMANAGER18814,ERROR1204,2016-10-04 15:59:30,2016-10-15 15:59:30,CLOSED-FAILURE
AFOM00127,COM,COM42739,ERROR1109,2015-10-19 09:44:23,2015-10-30 09:44:23,ERROR
AFOM00128,PNI,PNI52956,ERROR1001,2015-06-08 02:10:00,2015-06-19 02:10:00,CLOSED-SUCCESSFUL
AFOM00129,COM,COM36736,ERROR1105,2016-11-29 17:18:51,2016-12-10 17:18:51,CLOSED-FAILURE
AFOM00130,ORDERMANAGER,ORDERMANAGER28499,ERROR1201,2015-11-03 18:13:14,2015-11-14 18:13:14,CLOSED-FAILURE
AFOM00131,PNI,PNI59425,ERROR1008,2015-06-24 09:39:39,2015-07-05 09:39:39,CREATED
AFOM00132,PNI,PNI86761,ERROR1009,2016-10-23 15:53:44,2016-11-03 15:53:44,CLOSED-SUCCESSFUL
AFOM00133,PNI,PNI88535,ERROR1015,2015-09-19 23:49:54,2015-09-30 23:49:54,CREATED
AFOM00134,ORDERMANAGER,ORDERMANAGER74713,ERROR1215,2016-04-26 11:52:01,2016-05-07 11:52:01,STARTED
AFOM00135,PNI,PNI85787,ERROR1007,2016-06-11 18:28:08,2016-06-22 18:28:08,STARTED
AFOM00136,PNI,PNI27965,ERROR1005,2016-07-18 00:34:13,2016-07-29 00:34:13,ERROR
AFOM00137,PNI,PNI82915,ERROR1002,2017-03-17 14:54:21,2017-03-28 14:54:21,STARTED
AFOM00138,PNI,PNI4132,ERROR1001,2015-10-09 23:53:05,2015-10-20 23:53:05,ERROR
AFOM00139,COM,COM13587,ERROR1108,2016-02-07 17:09:39,2016-02-18 17:09:39,ERROR
AFOM00140,COM,COM28132,ERROR1103,2016-04-21 11:56:13,2016-05-02 11:56:13,ERROR
AFOM00141,ORDERMANAGER,ORDERMANAGER80028,ERROR1213,2015-10-01 20:03:44,2015-10-12 20:03:44,CLOSED-FAILURE
AFOM00142,PNI,PNI12911,ERROR1015,2016-05-14 00:55:20,2016-05-25 00:55:20,ERROR
AFOM00143,ORDERMANAGER,ORDERMANAGER35977,ERROR1202,2015-11-09 17:43:23,2015-11-20 17:43:23,STARTED
AFOM00144,ORDERMANAGER,ORDERMANAGER16255,ERROR1205,2016-02-28 15:22:50,2016-03-10 15:22:50,CLOSED-SUCCESSFUL
AFOM00145,COM,COM96388,ERROR1102,2016-07-03 03:29:13,2016-07-14 03:29:13,CLOSED-FAILURE
AFOM00146,PNI,PNI47860,ERROR1014,2015-12-04 08:01:23,2015-12-15 08:01:23,CLOSED-FAILURE
AFOM00147,ORDERMANAGER,ORDERMANAGER99944,ERROR1207,2015-05-28 21:06:52,2015-06-08 21:06:52,STARTED
AFOM00148,ORDERMANAGER,ORDERMANAGER59621,ERROR1203,2016-04-24 16:56:14,2016-05-05 16:56:14,CLOSED-SUCCESSFUL
AFOM00149,COM,COM62101,ERROR1109,2016-11-07 18:16:24,2016-11-18 18:16:24,CLOSED-FAILURE
AFOM00150,ORDERMANAGER,ORDERMANAGER34029,ERROR1205,2015-06-05 17:19:06,2015-06-16 17:19:06,STARTED
AFOM00151,PNI,PNI60663,ERROR1009,2016-02-10 06:02:48,2016-02-21 06:02:48,CLOSED-SUCCESSFUL
AFOM00152,COM,COM52133,ERROR1111,2015-09-10 06:28:34,2015-09-21 06:28:34,CLOSED-SUCCESSFUL
AFOM00153,PNI,PNI24615,ERROR1011,2017-04-24 13:28:43,2017-05-05 13:28:43,STARTED
AFOM00154,COM,COM84603,ERROR1106,2016-01-14 21:33:01,2016-01-25 21:33:01,CLOSED-SUCCESSFUL
AFOM00155,PNI,PNI74533,ERROR1006,2015-08-19 11:13:15,2015-08-30 11:13:15,CLOSED-SUCCESSFUL
AFOM00156,PNI,PNI27466,ERROR1015,2016-04-24 18:14:54,2016-05-05 18:14:54,STARTED
AFOM00157,ORDERMANAGER,ORDERMANAGER3831,ERROR1214,2016-09-03 07:24:04,2016-09-14 07:24:04,CLOSED-FAILURE
AFOM00158,PNI,PNI1284,ERROR1009,2015-12-06 11:00:46,2015-12-17 11:00:46,CLOSED-FAILURE
AFOM00159,ORDERMANAGER,ORDERMANAGER6127,ERROR1203,2016-01-25 04:00:12,2016-02-05 04:00:12,CREATED
AFOM00160,ORDERMANAGER,ORDERMANAGER64853,ERROR1212,2016-01-11 22:38:24,2016-01-22 22:38:24,CREATED
AFOM00161,PNI,PNI73506,ERROR1010,2017-03-13 07:35:40,2017-03-24 07:35:40,CREATED
AFOM00162,COM,COM8932,ERROR1106,2016-05-03 16:37:48,2016-05-14 16:37:48,CREATED
AFOM00163,COM,COM28198,ERROR1101,2017-04-05 05:12:12,2017-04-16 05:12:12,ERROR
AFOM00164,PNI,PNI95004,ERROR1007,2016-10-14 21:56:08,2016-10-25 21:56:08,STARTED
AFOM00165,COM,COM5159,ERROR1112,2016-10-11 00:55:36,2016-10-22 00:55:36,CLOSED-FAILURE
AFOM00166,PNI,PNI73721,ERROR1012,2016-02-13 08:43:21,2016-02-24 08:43:21,CREATED
AFOM00167,ORDERMANAGER,ORDERMANAGER45205,ERROR1204,2016-02-23 05:30:38,2016-03-05 05:30:38,CLOSED-FAILURE
AFOM00168,PNI,PNI11776,ERROR1009,2016-12-04 17:41:25,2016-12-15 17:41:25,CREATED
AFOM00169,ORDERMANAGER,ORDERMANAGER64917,ERROR1214,2015-05-27 12:05:20,2015-06-07 12:05:20,CLOSED-SUCCESSFUL
AFOM00170,PNI,PNI28424,ERROR1013,2017-04-09 00:31:50,2017-04-20 00:31:50,CREATED
AFOM00171,ORDERMANAGER,ORDERMANAGER65907,ERROR1203,2015-11-17 22:00:15,2015-11-28 22:00:15,CLOSED-FAILURE
AFOM00172,ORDERMANAGER,ORDERMANAGER56525,ERROR1209,2015-08-31 15:52:36,2015-09-11 15:52:36,CLOSED-FAILURE
AFOM00173,ORDERMANAGER,ORDERMANAGER64383,ERROR1213,2017-02-14 00:54:24,2017-02-25 00:54:24,STARTED
AFOM00174,COM,COM64523,ERROR1112,2017-01-01 06:48:01,2017-01-12 06:48:01,STARTED
AFOM00175,ORDERMANAGER,ORDERMANAGER34073,ERROR1214,2015-10-31 01:52:43,2015-11-11 01:52:43,STARTED
AFOM00176,ORDERMANAGER,ORDERMANAGER93061,ERROR1207,2016-03-26 07:29:31,2016-04-06 07:29:31,CLOSED-FAILURE
AFOM00177,PNI,PNI88108,ERROR1013,2015-07-25 18:11:21,2015-08-05 18:11:21,CLOSED-SUCCESSFUL
AFOM00178,ORDERMANAGER,ORDERMANAGER3544,ERROR1201,2015-06-04 19:15:36,2015-06-15 19:15:36,CLOSED-FAILURE
AFOM00179,PNI,PNI81565,ERROR1010,2016-08-17 22:29:56,2016-08-28 22:29:56,ERROR
AFOM00180,PNI,PNI21724,ERROR1003,2016-06-18 17:13:34,2016-06-29 17:13:34,ERROR
AFOM00181,PNI,PNI59209,ERROR1012,2017-02-13 08:05:39,2017-02-24 08:05:39,CREATED
AFOM00182,PNI,PNI20295,ERROR1012,2016-12-06 21:17:09,2016-12-17 21:17:09,CLOSED-FAILURE
AFOM00183,PNI,PNI31280,ERROR1010,2016-09-06 14:36:17,2016-09-17 14:36:17,CREATED
AFOM00184,ORDERMANAGER,ORDERMANAGER42410,ERROR1202,2016-07-10 04:23:27,2016-07-21 04:23:27,CLOSED-FAILURE
AFOM00185,ORDERMANAGER,ORDERMANAGER89964,ERROR1212,2017-02-12 18:00:30,2017-02-23 18:00:30,CLOSED-FAILURE
AFOM00186,ORDERMANAGER,ORDERMANAGER54524,ERROR1206,2015-07-13 08:23:18,2015-07-24 08:23:18,CREATED
AFOM00187,COM,COM20125,ERROR1112,2015-12-30 14:32:45,2016-01-10 14:32:45,CREATED
AFOM00188,PNI,PNI53036,ERROR1001,2015-11-03 09:47:06,2015-11-14 09:47:06,ERROR
AFOM00189,PNI,PNI64879,ERROR1014,2017-03-30 05:52:12,2017-04-10 05:52:12,CREATED
AFOM00190,COM,COM40503,ERROR1103,2016-08-20 08:41:15,2016-08-31 08:41:15,CLOSED-FAILURE
AFOM00191,COM,COM62691,ERROR1108,2016-05-31 23:10:24,2016-06-11 23:10:24,CREATED
AFOM00192,PNI,PNI99773,ERROR1008,2017-01-15 09:29:15,2017-01-26 09:29:15,ERROR
AFOM00193,COM,COM49417,ERROR1103,2016-11-23 05:57:58,2016-12-04 05:57:58,CLOSED-FAILURE
AFOM00194,PNI,PNI79862,ERROR1001,2015-10-22 03:15:30,2015-11-02 03:15:30,STARTED
AFOM00195,ORDERMANAGER,ORDERMANAGER8215,ERROR1205,2015-10-21 04:42:18,2015-11-01 04:42:18,STARTED
AFOM00196,COM,COM21888,ERROR1107,2015-07-12 17:58:06,2015-07-23 17:58:06,CREATED
AFOM00197,COM,COM83168,ERROR1107,2015-12-04 10:07:29,2015-12-15 10:07:29,CLOSED-FAILURE
AFOM00198,COM,COM17700,ERROR1102,2017-05-04 23:30:19,2017-05-15 23:30:19,STARTED
AFOM00199,ORDERMANAGER,ORDERMANAGER66001,ERROR1204,2016-01-11 15:05:00,2016-01-22 15:05:00,ERROR
AFOM00200,ORDERMANAGER,ORDERMANAGER7259,ERROR1203,2016-10-08 23:40:32,2016-10-19 23:40:32,STARTED
AFOM00201,COM,COM1351,ERROR1107,2016-04-03 07:40:53,2016-04-14 07:40:53,CLOSED-FAILURE
AFOM00202,PNI,PNI67485,ERROR1005,2016-11-01 23:48:32,2016-11-12 23:48:32,ERROR
AFOM00203,PNI,PNI75517,ERROR1014,2016-09-07 22:39:23,2016-09-18 22:39:23,CLOSED-FAILURE
AFOM00204,PNI,PNI26714,ERROR1002,2015-10-22 00:37:28,2015-11-02 00:37:28,ERROR
AFOM00205,COM,COM92580,ERROR1109,2016-02-26 21:30:04,2016-03-08 21:30:04,CREATED
AFOM00206,COM,COM42211,ERROR1113,2017-01-03 10:20:38,2017-01-14 10:20:38,CLOSED-SUCCESSFUL
AFOM00207,COM,COM27831,ERROR1102,2017-03-25 16:12:33,2017-04-05 16:12:33,CREATED
AFOM00208,ORDERMANAGER,ORDERMANAGER82324,ERROR1206,2017-01-24 14:37:09,2017-02-04 14:37:09,CREATED
AFOM00209,ORDERMANAGER,ORDERMANAGER49476,ERROR1212,2017-02-07 06:52:39,2017-02-18 06:52:39,CLOSED-FAILURE
AFOM00210,COM,COM90231,ERROR1101,2016-05-14 11:27:06,2016-05-25 11:27:06,CREATED
AFOM00211,ORDERMANAGER,ORDERMANAGER22002,ERROR1210,2016-02-25 23:30:15,2016-03-07 23:30:15,ERROR
AFOM00212,ORDERMANAGER,ORDERMANAGER72763,ERROR1203,2016-03-05 01:51:33,2016-03-16 01:51:33,CLOSED-SUCCESSFUL
AFOM00213,ORDERMANAGER,ORDERMANAGER23387,ERROR1210,2017-04-11 16:40:50,2017-04-22 16:40:50,CLOSED-SUCCESSFUL
AFOM00214,PNI,PNI87434,ERROR1010,2016-09-26 07:38:38,2016-10-07 07:38:38,CLOSED-SUCCESSFUL
AFOM00215,ORDERMANAGER,ORDERMANAGER59866,ERROR1208,2016-08-21 11:22:56,2016-09-01 11:22:56,CLOSED-SUCCESSFUL
AFOM00216,ORDERMANAGER,ORDERMANAGER10324,ERROR1205,2016-06-20 06:05:55,2016-07-01 06:05:55,CLOSED-FAILURE
AFOM00217,PNI,PNI36133,ERROR1007,2015-12-15 21:00:06,2015-12-26 21:00:06,STARTED
AFOM00218,COM,COM66123,ERROR1110,2016-07-12 15:12:34,2016-07-23 15:12:34,ERROR
AFOM00219,ORDERMANAGER,ORDERMANAGER99185,ERROR1213,2015-08-11 10:29:23,2015-08-22 10:29:23,ERROR
AFOM00220,ORDERMANAGER,ORDERMANAGER18114,ERROR1215,2015-08-23 01:39:24,2015-09-03 01:39:24,ERROR
AFOM00221,COM,COM18358,ERROR1109,2015-11-12 16:45:45,2015-11-23 16:45:45,CLOSED-SUCCESSFUL
AFOM00222,PNI,PNI26208,ERROR1014,2016-10-03 14:28:28,2016-10-14 14:28:28,ERROR
AFOM00223,COM,COM71641,ERROR1103,2015-12-24 00:23:37,2016-01-04 00:23:37,ERROR
AFOM00224,ORDERMANAGER,ORDERMANAGER83145,ERROR1215,2016-10-16 22:55:10,2016-10-27 22:55:10,CLOSED-SUCCESSFUL
