id,source_fallout_id,action_id,target_system,creation_date,due_date,status,retry_count,error_code,error_desc
65,AFOM00065,ACT010,PNI,2016-03-04 07:42:01,2016-03-06 07:42:01,ERROR,0,ERR002,Error Response received from system XYZ.
66,AFOM00066,ACT010,PNI,2016-09-30 12:13:37,2016-10-02 12:13:37,CLOSED-SUCCESSFUL,0,,
67,AFOM00067,ACT010,PNI,2017-01-29 01:40:45,2017-01-31 01:40:45,STARTED,0,,
68,AFOM00068,ACT007,PNI,2017-04-29 08:47:42,2017-05-01 08:47:42,CLOSED-FAILURE,0,,
69,AFOM00069,ACT006,HFC-SRI,2016-11-19 02:00:23,2016-11-21 02:00:23,STARTED,0,,
70,AFOM00070,ACT007,PNI,2015-12-10 21:10:20,2015-12-12 21:10:20,RETRY-FAILURE,3,,
71,AFOM00071,ACT010,PNI,2017-01-05 03:31:16,2017-01-07 03:31:16,CLOSED-SUCCESSFUL,0,,
72,AFOM00072,ACT010,PNI,2016-12-13 06:50:04,2016-12-15 06:50:04,CREATED,0,,
73,AFOM00073,ACT006,HFC-SRI,2016-05-25 23:53:05,2016-05-27 23:53:05,STARTED,0,,
74,AFOM00074,ACT007,PNI,2016-05-30 06:23:40,2016-06-01 06:23:40,CREATED,0,,
75,AFOM00075,ACT008,FTTN-SRI,2015-06-18 13:15:53,2015-06-20 13:15:53,CLOSED-SUCCESSFUL,0,,
76,AFOM00076,ACT010,PNI,2016-11-11 14:24:21,2016-11-13 14:24:21,STARTED,0,,
77,AFOM00077,ACT010,PNI,2017-01-25 09:32:28,2017-01-27 09:32:28,STARTED,0,,
78,AFOM00078,ACT008,FTTN-SRI,2016-05-24 11:17:17,2016-05-26 11:17:17,CLOSED-SUCCESSFUL,0,,
79,AFOM00079,ACT006,HFC-SRI,2015-05-31 11:49:20,2015-06-02 11:49:20,RETRY-STARTED,3,,
80,AFOM00080,ACT003,PNI,2017-03-20 00:51:57,2017-03-22 00:51:57,CLOSED-FAILURE,0,,
81,AFOM00081,ACT010,PNI,2015-07-10 01:37:29,2015-07-12 01:37:29,STARTED,0,,
82,AFOM00082,ACT009,HFC-SRI,2016-09-22 12:09:13,2016-09-24 12:09:13,RETRY-SUCCESS,3,,
83,AFOM00083,ACT006,HFC-SRI,2016-01-14 03:45:02,2016-01-16 03:45:02,CREATED,0,,
84,AFOM00084,ACT006,HFC-SRI,2015-10-20 21:16:15,2015-10-22 21:16:15,RETRY-FAILURE,2,,
85,AFOM00085,ACT001,FTTN-SRI,2017-01-27 00:37:22,2017-01-29 00:37:22,RETRY-FAILURE,1,,
86,AFOM00086,ACT004,HFC-SRI,2015-12-25 21:06:38,2015-12-27 21:06:38,RETRY-STARTED,3,,
87,AFOM00087,ACT008,FTTN-SRI,2016-09-27 18:34:21,2016-09-29 18:34:21,RETRY-STARTED,2,,
88,AFOM00088,ACT003,PNI,2016-01-07 18:37:16,2016-01-09 18:37:16,CLOSED-SUCCESSFUL,0,,
89,AFOM00089,ACT010,PNI,2017-04-29 07:15:04,2017-05-01 07:15:04,CREATED,0,,
90,AFOM00090,ACT007,PNI,2017-02-21 04:12:09,2017-02-23 04:12:09,CLOSED-SUCCESSFUL,0,,
91,AFOM00091,ACT001,FTTN-SRI,2016-01-09 20:25:27,2016-01-11 20:25:27,ERROR,0,ERR002,Error Response received from system XYZ.
92,AFOM00092,ACT008,FTTN-SRI,2016-07-08 01:48:09,2016-07-10 01:48:09,RETRY-SUCCESS,2,,
93,AFOM00093,ACT007,PNI,2016-12-24 04:24:50,2016-12-26 04:24:50,RETRY-SUCCESS,2,,
94,AFOM00094,ACT003,PNI,2017-01-28 09:04:13,2017-01-30 09:04:13,CLOSED-SUCCESSFUL,0,,
95,AFOM00095,ACT010,PNI,2016-10-05 06:55:26,2016-10-07 06:55:26,RETRY-STARTED,1,,
96,AFOM00096,ACT010,PNI,2016-11-20 17:07:34,2016-11-22 17:07:34,CLOSED-SUCCESSFUL,0,,
97,AFOM00097,ACT002,HFC-SRI,2016-01-08 23:22:29,2016-01-10 23:22:29,RETRY-FAILURE,1,,
98,AFOM00098,ACT010,PNI,2015-10-25 11:40:49,2015-10-27 11:40:49,STARTED,0,,
99,AFOM00099,ACT007,PNI,2015-06-08 08:12:28,2015-06-10 08:12:28,RETRY-STARTED,1,,
100,AFOM00100,ACT002,HFC-SRI,2015-09-05 09:02:36,2015-09-07 09:02:36,CLOSED-SUCCESSFUL,0,,
101,AFOM00101,ACT010,PNI,2016-08-06 07:21:25,2016-08-08 07:21:25,CLOSED-FAILURE,0,,
102,AFOM00102,ACT009,HFC-SRI,2015-09-07 10:20:44,2015-09-09 10:20:44,RETRY-STARTED,2,,
103,AFOM00103,ACT010,PNI,2016-03-19 20:37:45,2016-03-21 20:37:45,RETRY-STARTED,3,,
104,AFOM00104,ACT004,HFC-SRI,2016-08-25 21:33:37,2016-08-27 21:33:37,CLOSED-FAILURE,0,,
105,AFOM00105,ACT008,FTTN-SRI,2016-07-20 21:06:30,2016-07-22 21:06:30,RETRY-FAILURE,1,,
106,AFOM00106,ACT004,HFC-SRI,2016-03-07 15:24:27,2016-03-09 15:24:27,RETRY-FAILURE,2,,
107,AFOM00107,ACT005,FTTN-SRI,2017-04-08 18:47:47,2017-04-10 18:47:47,RETRY-FAILURE,2,,
108,AFOM00108,ACT006,HFC-SRI,2016-06-26 21:22:45,2016-06-28 21:22:45,RETRY-FAILURE,1,,
109,AFOM00109,ACT004,HFC-SRI,2015-09-27 02:39:53,2015-09-29 02:39:53,CREATED,0,,
110,AFOM00110,ACT009,HFC-SRI,2015-11-21 15:36:07,2015-11-23 15:36:07,ERROR,0,ERR003,Error encoutnered from on system ABC.
111,AFOM00111,ACT001,FTTN-SRI,2016-01-30 04:15:58,2016-02-01 04:15:58,RETRY-FAILURE,3,,
112,AFOM00112,ACT009,HFC-SRI,2016-06-06 21:19:41,2016-06-08 21:19:41,RETRY-STARTED,2,,
113,AFOM00113,ACT008,FTTN-SRI,2015-08-01 19:01:57,2015-08-03 19:01:57,RETRY-SUCCESS,3,,
114,AFOM00114,ACT001,FTTN-SRI,2017-01-31 15:25:03,2017-02-02 15:25:03,CREATED,0,,
115,AFOM00115,ACT003,PNI,2016-09-26 12:01:32,2016-09-28 12:01:32,ERROR,0,ERR002,Error Response received from system XYZ.
116,AFOM00116,ACT005,FTTN-SRI,2017-02-14 20:38:22,2017-02-16 20:38:22,STARTED,0,,
117,AFOM00117,ACT007,PNI,2016-11-13 03:41:00,2016-11-15 03:41:00,CREATED,0,,
118,AFOM00118,ACT001,FTTN-SRI,2015-07-05 15:14:12,2015-07-07 15:14:12,RETRY-SUCCESS,3,,
119,AFOM00119,ACT008,FTTN-SRI,2015-08-12 17:48:08,2015-08-14 17:48:08,RETRY-SUCCESS,1,,
120,AFOM00120,ACT005,FTTN-SRI,2015-07-30 11:19:07,2015-08-01 11:19:07,RETRY-SUCCESS,1,,
121,AFOM00121,ACT001,FTTN-SRI,2016-06-11 21:22:05,2016-06-13 21:22:05,CREATED,0,,
122,AFOM00122,ACT001,FTTN-SRI,2015-08-11 21:40:42,2015-08-13 21:40:42,CLOSED-FAILURE,0,,
123,AFOM00123,ACT004,HFC-SRI,2016-11-26 22:33:29,2016-11-28 22:33:29,RETRY-STARTED,3,,
124,AFOM00124,ACT005,FTTN-SRI,2017-04-25 22:56:37,2017-04-27 22:56:37,ERROR,0,ERR001,Message to system XYZ timed out.
125,AFOM00125,ACT008,FTTN-SRI,2016-06-11 19:53:25,2016-06-13 19:53:25,RETRY-STARTED,2,,
126,AFOM00126,ACT002,HFC-SRI,2016-04-29 18:45:29,2016-05-01 18:45:29,CREATED,0,,
127,AFOM00127,ACT001,FTTN-SRI,2016-01-06 06:22:32,2016-01-08 06:22:32,CLOSED-FAILURE,0,,
128,AFOM00128,ACT001,FTTN-SRI,2016-07-06 05:30:25,2016-07-08 05:30:25,CLOSED-SUCCESSFUL,0,,
129,AFOM00129,ACT006,HFC-SRI,2016-11-22 06:33:10,2016-11-24 06:33:10,CREATED,0,,
130,AFOM00130,ACT007,PNI,2016-05-03 09:54:46,2016-05-05 09:54:46,STARTED,0,,
131,AFOM00131,ACT010,PNI,2015-10-01 16:23:25,2015-10-03 16:23:25,CLOSED-FAILURE,0,,
132,AFOM00132,ACT009,HFC-SRI,2015-05-15 11:03:25,2015-05-17 11:03:25,STARTED,0,,
133,AFOM00133,ACT007,PNI,2017-02-04 15:35:35,2017-02-06 15:35:35,RETRY-FAILURE,1,,
134,AFOM00134,ACT007,PNI,2016-02-01 00:13:41,2016-02-03 00:13:41,STARTED,0,,
135,AFOM00135,ACT007,PNI,2017-03-18 10:23:14,2017-03-20 10:23:14,CLOSED-SUCCESSFUL,0,,
136,AFOM00136,ACT008,FTTN-SRI,2017-01-09 22:17:13,2017-01-11 22:17:13,RETRY-STARTED,2,,
137,AFOM00137,ACT005,FTTN-SRI,2017-04-17 09:32:32,2017-04-19 09:32:32,CREATED,0,,
138,AFOM00138,ACT002,HFC-SRI,2017-03-05 01:53:26,2017-03-07 01:53:26,STARTED,0,,
139,AFOM00139,ACT004,HFC-SRI,2015-08-13 06:07:46,2015-08-15 06:07:46,CLOSED-SUCCESSFUL,0,,
140,AFOM00140,ACT009,HFC-SRI,2016-02-14 15:21:35,2016-02-16 15:21:35,CLOSED-SUCCESSFUL,0,,
141,AFOM00141,ACT001,FTTN-SRI,2016-05-22 05:52:36,2016-05-24 05:52:36,RETRY-SUCCESS,2,,
142,AFOM00142,ACT001,FTTN-SRI,2017-05-08 03:30:15,2017-05-10 03:30:15,ERROR,0,ERR002,Error Response received from system XYZ.
143,AFOM00143,ACT001,FTTN-SRI,2015-08-14 12:37:38,2015-08-16 12:37:38,CREATED,0,,
144,AFOM00144,ACT004,HFC-SRI,2016-01-09 17:55:58,2016-01-11 17:55:58,RETRY-STARTED,1,,
145,AFOM00145,ACT008,FTTN-SRI,2016-12-18 19:57:33,2016-12-20 19:57:33,ERROR,0,ERR003,Error encoutnered from on system ABC.
146,AFOM00146,ACT001,FTTN-SRI,2016-07-12 05:42:31,2016-07-14 05:42:31,RETRY-FAILURE,3,,
147,AFOM00147,ACT009,HFC-SRI,2017-01-21 19:36:21,2017-01-23 19:36:21,CLOSED-FAILURE,0,,
148,AFOM00148,ACT009,HFC-SRI,2016-07-26 03:24:59,2016-07-28 03:24:59,RETRY-STARTED,2,,
149,AFOM00149,ACT003,PNI,2015-06-26 03:51:34,2015-06-28 03:51:34,CLOSED-FAILURE,0,,
150,AFOM00150,ACT004,HFC-SRI,2015-09-16 01:12:06,2015-09-18 01:12:06,RETRY-STARTED,2,,
151,AFOM00151,ACT009,HFC-SRI,2016-12-28 16:23:30,2016-12-30 16:23:30,RETRY-FAILURE,2,,
152,AFOM00152,ACT007,PNI,2015-09-04 06:58:18,2015-09-06 06:58:18,RETRY-FAILURE,2,,
153,AFOM00153,ACT003,PNI,2015-09-28 22:31:24,2015-09-30 22:31:24,CREATED,0,,
154,AFOM00154,ACT002,HFC-SRI,2016-08-22 17:09:42,2016-08-24 17:09:42,ERROR,0,ERR002,Error Response received from system XYZ.
155,AFOM00155,ACT004,HFC-SRI,2016-03-04 17:24:47,2016-03-06 17:24:47,RETRY-FAILURE,3,,
156,AFOM00156,ACT004,HFC-SRI,2016-12-03 11:06:48,2016-12-05 11:06:48,ERROR,0,ERR001,Message to system XYZ timed out.
157,AFOM00157,ACT005,FTTN-SRI,2015-12-12 11:32:00,2015-12-14 11:32:00,STARTED,0,,
158,AFOM00158,ACT003,PNI,2016-07-31 01:49:34,2016-08-02 01:49:34,CLOSED-FAILURE,0,,
159,AFOM00159,ACT004,HFC-SRI,2017-03-14 00:18:34,2017-03-16 00:18:34,RETRY-STARTED,2,,
160,AFOM00160,ACT005,FTTN-SRI,2016-11-29 11:19:19,2016-12-01 11:19:19,CLOSED-SUCCESSFUL,0,,
161,AFOM00161,ACT007,PNI,2016-08-15 18:47:14,2016-08-17 18:47:14,CLOSED-FAILURE,0,,
162,AFOM00162,ACT005,FTTN-SRI,2016-10-31 05:02:22,2016-11-02 05:02:22,CLOSED-SUCCESSFUL,0,,
163,AFOM00163,ACT007,PNI,2015-05-14 15:35:18,2015-05-16 15:35:18,ERROR,0,ERR001,Message to system XYZ timed out.
164,AFOM00164,ACT003,PNI,2017-02-21 17:23:46,2017-02-23 17:23:46,STARTED,0,,
165,AFOM00165,ACT007,PNI,2017-04-01 15:22:41,2017-04-03 15:22:41,RETRY-SUCCESS,2,,
166,AFOM00166,ACT006,HFC-SRI,2016-11-12 23:27:48,2016-11-14 23:27:48,RETRY-SUCCESS,3,,
167,AFOM00167,ACT009,HFC-SRI,2016-12-29 23:21:24,2016-12-31 23:21:24,RETRY-SUCCESS,3,,
168,AFOM00168,ACT009,HFC-SRI,2016-06-20 18:04:33,2016-06-22 18:04:33,RETRY-FAILURE,1,,
169,AFOM00169,ACT010,PNI,2017-03-15 09:00:18,2017-03-17 09:00:18,RETRY-FAILURE,1,,
170,AFOM00170,ACT002,HFC-SRI,2015-08-10 14:33:16,2015-08-12 14:33:16,RETRY-FAILURE,1,,
171,AFOM00171,ACT001,FTTN-SRI,2016-03-07 22:57:47,2016-03-09 22:57:47,CLOSED-FAILURE,0,,
172,AFOM00172,ACT009,HFC-SRI,2016-11-03 16:52:52,2016-11-05 16:52:52,ERROR,0,ERR001,Message to system XYZ timed out.
173,AFOM00173,ACT008,FTTN-SRI,2016-07-23 19:39:32,2016-07-25 19:39:32,CLOSED-FAILURE,0,,
174,AFOM00174,ACT004,HFC-SRI,2015-07-19 12:02:39,2015-07-21 12:02:39,ERROR,0,ERR003,Error encoutnered from on system ABC.
175,AFOM00175,ACT001,FTTN-SRI,2015-08-15 17:25:36,2015-08-17 17:25:36,CLOSED-FAILURE,0,,
176,AFOM00176,ACT003,PNI,2016-08-27 12:40:13,2016-08-29 12:40:13,RETRY-STARTED,3,,
177,AFOM00177,ACT005,FTTN-SRI,2017-04-13 10:43:26,2017-04-15 10:43:26,CLOSED-FAILURE,0,,
178,AFOM00178,ACT005,FTTN-SRI,2016-03-27 18:54:16,2016-03-29 18:54:16,RETRY-FAILURE,2,,
179,AFOM00179,ACT005,FTTN-SRI,2015-12-30 10:07:46,2016-01-01 10:07:46,CLOSED-FAILURE,0,,
180,AFOM00180,ACT008,FTTN-SRI,2016-07-22 14:14:07,2016-07-24 14:14:07,CLOSED-SUCCESSFUL,0,,
181,AFOM00181,ACT007,PNI,2017-05-03 19:53:00,2017-05-05 19:53:00,ERROR,0,ERR002,Error Response received from system XYZ.
182,AFOM00182,ACT006,HFC-SRI,2017-01-22 11:18:08,2017-01-24 11:18:08,CLOSED-FAILURE,0,,
183,AFOM00183,ACT008,FTTN-SRI,2017-02-24 09:44:00,2017-02-26 09:44:00,ERROR,0,ERR003,Error encoutnered from on system ABC.
184,AFOM00184,ACT008,FTTN-SRI,2015-10-20 15:00:38,2015-10-22 15:00:38,CLOSED-SUCCESSFUL,0,,
185,AFOM00185,ACT008,FTTN-SRI,2015-08-02 19:03:11,2015-08-04 19:03:11,CREATED,0,,
186,AFOM00186,ACT008,FTTN-SRI,2015-12-19 17:59:29,2015-12-21 17:59:29,RETRY-FAILURE,1,,
187,AFOM00187,ACT003,PNI,2015-06-07 13:15:53,2015-06-09 13:15:53,STARTED,0,,
188,AFOM00188,ACT003,PNI,2016-11-26 10:55:49,2016-11-28 10:55:49,CLOSED-SUCCESSFUL,0,,
189,AFOM00189,ACT002,HFC-SRI,2017-03-03 00:56:04,2017-03-05 00:56:04,CREATED,0,,
190,AFOM00190,ACT002,HFC-SRI,2016-08-10 18:18:15,2016-08-12 18:18:15,ERROR,0,ERR002,Error Response received from system XYZ.
191,AFOM00191,ACT009,HFC-SRI,2015-10-09 02:10:51,2015-10-11 02:10:51,STARTED,0,,
192,AFOM00192,ACT004,HFC-SRI,2016-01-11 05:14:02,2016-01-13 05:14:02,CLOSED-SUCCESSFUL,0,,
193,AFOM00193,ACT004,HFC-SRI,2016-04-19 02:16:54,2016-04-21 02:16:54,CLOSED-SUCCESSFUL,0,,
194,AFOM00194,ACT009,HFC-SRI,2016-12-24 00:21:44,2016-12-26 00:21:44,CLOSED-SUCCESSFUL,0,,
195,AFOM00195,ACT005,FTTN-SRI,2017-02-09 17:41:14,2017-02-11 17:41:14,CREATED,0,,
196,AFOM00196,ACT009,HFC-SRI,2015-08-10 12:51:08,2015-08-12 12:51:08,RETRY-FAILURE,2,,
197,AFOM00197,ACT006,HFC-SRI,2016-05-27 05:08:35,2016-05-29 05:08:35,STARTED,0,,
198,AFOM00198,ACT010,PNI,2017-01-14 20:26:26,2017-01-16 20:26:26,STARTED,0,,
199,AFOM00199,ACT006,HFC-SRI,2016-04-21 13:25:44,2016-04-23 13:25:44,STARTED,0,,
200,AFOM00200,ACT008,FTTN-SRI,2016-11-11 18:18:46,2016-11-13 18:18:46,CLOSED-SUCCESSFUL,0,,
201,AFOM00201,ACT005,FTTN-SRI,2017-04-07 04:27:40,2017-04-09 04:27:40,CLOSED-FAILURE,0,,
202,AFOM00202,ACT008,FTTN-SRI,2016-03-27 14:43:29,2016-03-29 14:43:29,RETRY-SUCCESS,2,,
203,AFOM00203,ACT005,FTTN-SRI,2015-10-19 11:08:28,2015-10-21 11:08:28,RETRY-STARTED,3,,
204,AFOM00204,ACT001,FTTN-SRI,2016-05-07 02:06:49,2016-05-09 02:06:49,RETRY-SUCCESS,1,,
205,AFOM00205,ACT001,FTTN-SRI,2017-03-26 02:44:26,2017-03-28 02:44:26,ERROR,0,ERR002,Error Response received from system XYZ.
206,AFOM00206,ACT009,HFC-SRI,2015-07-08 03:09:45,2015-07-10 03:09:45,RETRY-SUCCESS,3,,
207,AFOM00207,ACT005,FTTN-SRI,2016-04-06 07:45:57,2016-04-08 07:45:57,ERROR,0,ERR002,Error Response received from system XYZ.
208,AFOM00208,ACT005,FTTN-SRI,2016-01-15 15:40:40,2016-01-17 15:40:40,RETRY-STARTED,3,,
209,AFOM00209,ACT001,FTTN-SRI,2016-04-05 12:16:18,2016-04-07 12:16:18,ERROR,0,ERR002,Error Response received from system XYZ.
210,AFOM00210,ACT008,FTTN-SRI,2015-10-09 08:45:13,2015-10-11 08:45:13,RETRY-STARTED,3,,
211,AFOM00211,ACT003,PNI,2016-07-16 11:58:33,2016-07-18 11:58:33,CLOSED-FAILURE,0,,
212,AFOM00212,ACT008,FTTN-SRI,2016-03-16 16:35:46,2016-03-18 16:35:46,CLOSED-FAILURE,0,,
213,AFOM00213,ACT002,HFC-SRI,2017-03-06 01:12:14,2017-03-08 01:12:14,CLOSED-SUCCESSFUL,0,,
214,AFOM00214,ACT009,HFC-SRI,2017-04-18 01:34:04,2017-04-20 01:34:04,RETRY-SUCCESS,1,,
215,AFOM00215,ACT001,FTTN-SRI,2016-12-01 04:43:27,2016-12-03 04:43:27,ERROR,0,ERR003,Error encoutnered from on system ABC.
216,AFOM00216,ACT010,PNI,2016-05-07 09:51:16,2016-05-09 09:51:16,STARTED,0,,
217,AFOM00217,ACT005,FTTN-SRI,2016-04-20 19:18:48,2016-04-22 19:18:48,CREATED,0,,
218,AFOM00218,ACT008,FTTN-SRI,2016-02-21 01:00:29,2016-02-23 01:00:29,ERROR,0,ERR001,Message to system XYZ timed out.
219,AFOM00219,ACT006,HFC-SRI,2015-08-22 01:17:14,2015-08-24 01:17:14,CREATED,0,,
220,AFOM00220,ACT001,FTTN-SRI,2015-07-31 17:24:57,2015-08-02 17:24:57,ERROR,0,ERR003,Error encoutnered from on system ABC.
221,AFOM00221,ACT010,PNI,2016-07-08 19:48:43,2016-07-10 19:48:43,STARTED,0,,
