id,source_fallout_id,action_id,target_system,creation_timestamp,due_date,status,retry_count
51,AFOM00051,ACT007,PNI,20/03/17 05:07,22/03/17 05:07,RETRY-SUCCESS,2
52,AFOM00052,ACT001,FTTN-SRI,25/03/17 01:40,27/03/17 01:40,RETRY-STARTED,1
53,AFOM00053,ACT002,HFC-SRI,22/03/17 02:48,24/03/17 02:48,RETRY-SUCCESS,3
54,AFOM00054,ACT001,FTTN-SRI,25/03/17 00:11,27/03/17 00:11,CLOSED-SUCCESSFUL,
55,AFOM00055,ACT007,PNI,21/03/17 18:36,23/03/17 18:36,CLOSED-SUCCESSFUL,
56,AFOM00056,ACT005,FTTN-SRI,27/03/17 02:13,29/03/17 02:13,CLOSED-SUCCESSFUL,
57,AFOM00057,ACT003,PNI,25/03/17 20:35,27/03/17 20:35,RETRY-SUCCESS,3
58,AFOM00058,ACT005,FTTN-SRI,25/03/17 23:16,27/03/17 23:16,RETRY-SUCCESS,1
59,AFOM00059,ACT004,HFC-SRI,22/03/17 05:49,24/03/17 05:49,STARTED,
60,AFOM00060,ACT007,PNI,23/03/17 12:36,25/03/17 12:36,RETRY-SUCCESS,3
61,AFOM00061,ACT002,HFC-SRI,28/03/17 18:59,30/03/17 18:59,RETRY-SUCCESS,2
62,AFOM00062,ACT001,FTTN-SRI,24/03/17 05:51,26/03/17 05:51,RETRY-STARTED,1
63,AFOM00063,ACT001,FTTN-SRI,26/03/17 18:12,28/03/17 18:12,CREATED,
64,AFOM00064,ACT002,HFC-SRI,23/03/17 06:26,25/03/17 06:26,CREATED,
65,AFOM00065,ACT009,HFC-SRI,21/03/17 09:18,23/03/17 09:18,CREATED,
66,AFOM00066,ACT004,HFC-SRI,19/03/17 22:46,21/03/17 22:46,ERROR,
67,AFOM00067,ACT006,HFC-SRI,22/03/17 22:29,24/03/17 22:29,RETRY-STARTED,1
68,AFOM00068,ACT010,PNI,24/03/17 03:57,26/03/17 03:57,CLOSED-SUCCESSFUL,
69,AFOM00069,ACT001,FTTN-SRI,25/03/17 08:33,27/03/17 08:33,CLOSED-SUCCESSFUL,
70,AFOM00070,ACT003,PNI,23/03/17 23:42,25/03/17 23:42,STARTED,
71,AFOM00071,ACT010,PNI,23/03/17 00:24,25/03/17 00:24,RETRY-SUCCESS,2
72,AFOM00072,ACT001,FTTN-SRI,19/03/17 16:58,21/03/17 16:58,RETRY-FAILURE,3
73,AFOM00073,ACT001,FTTN-SRI,23/03/17 23:28,25/03/17 23:28,ERROR,
74,AFOM00074,ACT009,HFC-SRI,28/03/17 05:58,30/03/17 05:58,STARTED,
75,AFOM00075,ACT009,HFC-SRI,28/03/17 00:35,30/03/17 00:35,STARTED,
76,AFOM00076,ACT009,HFC-SRI,28/03/17 07:06,30/03/17 07:06,CREATED,
77,AFOM00077,ACT003,PNI,29/03/17 12:54,31/03/17 12:54,RETRY-FAILURE,2
78,AFOM00078,ACT008,FTTN-SRI,28/03/17 01:42,30/03/17 01:42,CLOSED-FAILURE,
79,AFOM00079,ACT004,HFC-SRI,21/03/17 22:11,23/03/17 22:11,RETRY-STARTED,2
80,AFOM00080,ACT010,PNI,25/03/17 00:54,27/03/17 00:54,RETRY-SUCCESS,2
81,AFOM00081,ACT009,HFC-SRI,22/03/17 12:45,24/03/17 12:45,CLOSED-SUCCESSFUL,
82,AFOM00082,ACT010,PNI,19/03/17 23:54,21/03/17 23:54,RETRY-SUCCESS,1
83,AFOM00083,ACT008,FTTN-SRI,19/03/17 15:00,21/03/17 15:00,RETRY-SUCCESS,2
84,AFOM00084,ACT004,HFC-SRI,24/03/17 07:04,26/03/17 07:04,STARTED,
85,AFOM00085,ACT008,FTTN-SRI,29/03/17 07:10,31/03/17 07:10,ERROR,
86,AFOM00086,ACT005,FTTN-SRI,22/03/17 14:23,24/03/17 14:23,CLOSED-SUCCESSFUL,
87,AFOM00087,ACT004,HFC-SRI,21/03/17 18:42,23/03/17 18:42,ERROR,
88,AFOM00088,ACT002,HFC-SRI,21/03/17 16:11,23/03/17 16:11,ERROR,
89,AFOM00089,ACT010,PNI,23/03/17 06:35,25/03/17 06:35,RETRY-FAILURE,2
90,AFOM00090,ACT004,HFC-SRI,22/03/17 03:53,24/03/17 03:53,RETRY-SUCCESS,1
91,AFOM00091,ACT001,FTTN-SRI,29/03/17 07:17,31/03/17 07:17,ERROR,
92,AFOM00092,ACT002,HFC-SRI,20/03/17 10:17,22/03/17 10:17,ERROR,
93,AFOM00093,ACT006,HFC-SRI,29/03/17 03:34,31/03/17 03:34,CLOSED-SUCCESSFUL,
94,AFOM00094,ACT008,FTTN-SRI,24/03/17 23:31,26/03/17 23:31,STARTED,
95,AFOM00095,ACT010,PNI,21/03/17 21:14,23/03/17 21:14,RETRY-STARTED,3
96,AFOM00096,ACT005,FTTN-SRI,28/03/17 12:22,30/03/17 12:22,ERROR,
97,AFOM00097,ACT008,FTTN-SRI,26/03/17 06:13,28/03/17 06:13,CLOSED-FAILURE,
98,AFOM00098,ACT001,FTTN-SRI,19/03/17 16:34,21/03/17 16:34,STARTED,
99,AFOM00099,ACT001,FTTN-SRI,27/03/17 11:51,29/03/17 11:51,RETRY-FAILURE,2
100,AFOM00100,ACT007,PNI,26/03/17 04:58,28/03/17 04:58,RETRY-FAILURE,3
101,AFOM00101,ACT005,FTTN-SRI,28/03/17 00:04,30/03/17 00:04,ERROR,
102,AFOM00102,ACT003,PNI,21/03/17 19:31,23/03/17 19:31,ERROR,
103,AFOM00103,ACT003,PNI,22/03/17 17:58,24/03/17 17:58,RETRY-STARTED,2
104,AFOM00104,ACT008,FTTN-SRI,21/03/17 19:28,23/03/17 19:28,CLOSED-FAILURE,
105,AFOM00105,ACT006,HFC-SRI,20/03/17 01:02,22/03/17 01:02,RETRY-FAILURE,2
106,AFOM00106,ACT007,PNI,19/03/17 15:43,21/03/17 15:43,ERROR,
107,AFOM00107,ACT005,FTTN-SRI,27/03/17 20:03,29/03/17 20:03,CLOSED-FAILURE,
108,AFOM00108,ACT009,HFC-SRI,21/03/17 23:12,23/03/17 23:12,CLOSED-SUCCESSFUL,
109,AFOM00109,ACT006,HFC-SRI,22/03/17 15:04,24/03/17 15:04,RETRY-STARTED,2
110,AFOM00110,ACT002,HFC-SRI,27/03/17 00:58,29/03/17 00:58,STARTED,
111,AFOM00111,ACT006,HFC-SRI,27/03/17 09:12,29/03/17 09:12,RETRY-FAILURE,3
112,AFOM00112,ACT007,PNI,22/03/17 05:26,24/03/17 05:26,RETRY-STARTED,2
113,AFOM00113,ACT002,HFC-SRI,28/03/17 17:47,30/03/17 17:47,RETRY-SUCCESS,2
114,AFOM00114,ACT002,HFC-SRI,22/03/17 01:03,24/03/17 01:03,CLOSED-FAILURE,
115,AFOM00115,ACT002,HFC-SRI,24/03/17 15:23,26/03/17 15:23,RETRY-SUCCESS,2
116,AFOM00116,ACT008,FTTN-SRI,26/03/17 11:21,28/03/17 11:21,CLOSED-FAILURE,
117,AFOM00117,ACT005,FTTN-SRI,26/03/17 03:16,28/03/17 03:16,CLOSED-SUCCESSFUL,
118,AFOM00118,ACT009,HFC-SRI,26/03/17 09:41,28/03/17 09:41,CLOSED-SUCCESSFUL,
119,AFOM00119,ACT009,HFC-SRI,28/03/17 17:02,30/03/17 17:02,CREATED,
120,AFOM00120,ACT001,FTTN-SRI,24/03/17 01:38,26/03/17 01:38,CLOSED-SUCCESSFUL,
121,AFOM00121,ACT009,HFC-SRI,28/03/17 12:16,30/03/17 12:16,RETRY-SUCCESS,1
122,AFOM00122,ACT004,HFC-SRI,24/03/17 12:22,26/03/17 12:22,RETRY-STARTED,3
123,AFOM00123,ACT010,PNI,28/03/17 10:02,30/03/17 10:02,CLOSED-SUCCESSFUL,
124,AFOM00124,ACT004,HFC-SRI,23/03/17 10:31,25/03/17 10:31,RETRY-STARTED,2
125,AFOM00125,ACT006,HFC-SRI,24/03/17 10:17,26/03/17 10:17,CLOSED-SUCCESSFUL,
126,AFOM00126,ACT005,FTTN-SRI,28/03/17 09:49,30/03/17 09:49,RETRY-STARTED,3
127,AFOM00127,ACT001,FTTN-SRI,24/03/17 02:22,26/03/17 02:22,CLOSED-FAILURE,
128,AFOM00128,ACT001,FTTN-SRI,23/03/17 00:45,25/03/17 00:45,CLOSED-FAILURE,
129,AFOM00129,ACT004,HFC-SRI,20/03/17 13:18,22/03/17 13:18,RETRY-FAILURE,3
130,AFOM00130,ACT001,FTTN-SRI,28/03/17 01:23,30/03/17 01:23,CREATED,
131,AFOM00131,ACT002,HFC-SRI,26/03/17 18:02,28/03/17 18:02,RETRY-FAILURE,3
132,AFOM00132,ACT008,FTTN-SRI,22/03/17 20:11,24/03/17 20:11,RETRY-STARTED,1
133,AFOM00133,ACT004,HFC-SRI,27/03/17 13:47,29/03/17 13:47,CREATED,
134,AFOM00134,ACT010,PNI,26/03/17 23:36,28/03/17 23:36,RETRY-FAILURE,1
135,AFOM00135,ACT007,PNI,27/03/17 07:16,29/03/17 07:16,RETRY-SUCCESS,2
136,AFOM00136,ACT004,HFC-SRI,27/03/17 18:11,29/03/17 18:11,ERROR,
137,AFOM00137,ACT006,HFC-SRI,23/03/17 06:51,25/03/17 06:51,CREATED,
138,AFOM00138,ACT001,FTTN-SRI,23/03/17 16:07,25/03/17 16:07,CLOSED-SUCCESSFUL,
139,AFOM00139,ACT009,HFC-SRI,29/03/17 01:59,31/03/17 01:59,RETRY-SUCCESS,3
140,AFOM00140,ACT007,PNI,19/03/17 22:31,21/03/17 22:31,CLOSED-FAILURE,
141,AFOM00141,ACT010,PNI,27/03/17 07:23,29/03/17 07:23,RETRY-SUCCESS,1
142,AFOM00142,ACT007,PNI,23/03/17 12:46,25/03/17 12:46,CREATED,
143,AFOM00143,ACT008,FTTN-SRI,24/03/17 09:15,26/03/17 09:15,RETRY-FAILURE,3
144,AFOM00144,ACT003,PNI,22/03/17 09:11,24/03/17 09:11,RETRY-FAILURE,1
145,AFOM00145,ACT003,PNI,24/03/17 00:17,26/03/17 00:17,RETRY-STARTED,3
146,AFOM00146,ACT010,PNI,21/03/17 10:57,23/03/17 10:57,CLOSED-SUCCESSFUL,
147,AFOM00147,ACT004,HFC-SRI,21/03/17 02:29,23/03/17 02:29,RETRY-STARTED,1
148,AFOM00148,ACT005,FTTN-SRI,26/03/17 11:16,28/03/17 11:16,CLOSED-SUCCESSFUL,
149,AFOM00149,ACT010,PNI,19/03/17 17:58,21/03/17 17:58,CLOSED-SUCCESSFUL,
150,AFOM00150,ACT003,PNI,21/03/17 15:35,23/03/17 15:35,STARTED,
151,AFOM00151,ACT005,FTTN-SRI,26/03/17 22:51,28/03/17 22:51,STARTED,
152,AFOM00152,ACT003,PNI,25/03/17 10:57,27/03/17 10:57,RETRY-STARTED,2
153,AFOM00153,ACT008,FTTN-SRI,26/03/17 15:59,28/03/17 15:59,CLOSED-SUCCESSFUL,
154,AFOM00154,ACT009,HFC-SRI,28/03/17 06:05,30/03/17 06:05,STARTED,
155,AFOM00155,ACT003,PNI,27/03/17 10:56,29/03/17 10:56,STARTED,
156,AFOM00156,ACT009,HFC-SRI,24/03/17 04:21,26/03/17 04:21,STARTED,
157,AFOM00157,ACT005,FTTN-SRI,21/03/17 19:44,23/03/17 19:44,RETRY-FAILURE,1
158,AFOM00158,ACT006,HFC-SRI,27/03/17 18:17,29/03/17 18:17,CLOSED-SUCCESSFUL,
159,AFOM00159,ACT009,HFC-SRI,22/03/17 13:13,24/03/17 13:13,RETRY-FAILURE,3
160,AFOM00160,ACT005,FTTN-SRI,28/03/17 14:05,30/03/17 14:05,STARTED,
161,AFOM00161,ACT001,FTTN-SRI,22/03/17 23:23,24/03/17 23:23,RETRY-SUCCESS,1
162,AFOM00162,ACT010,PNI,28/03/17 19:55,30/03/17 19:55,ERROR,
163,AFOM00163,ACT002,HFC-SRI,27/03/17 09:09,29/03/17 09:09,RETRY-STARTED,2
164,AFOM00164,ACT008,FTTN-SRI,20/03/17 13:09,22/03/17 13:09,RETRY-FAILURE,1
165,AFOM00165,ACT006,HFC-SRI,27/03/17 05:05,29/03/17 05:05,CLOSED-FAILURE,
166,AFOM00166,ACT003,PNI,25/03/17 09:13,27/03/17 09:13,RETRY-FAILURE,2
167,AFOM00167,ACT008,FTTN-SRI,20/03/17 12:15,22/03/17 12:15,CLOSED-SUCCESSFUL,
168,AFOM00168,ACT009,HFC-SRI,26/03/17 23:19,28/03/17 23:19,ERROR,
169,AFOM00169,ACT001,FTTN-SRI,23/03/17 18:41,25/03/17 18:41,CLOSED-SUCCESSFUL,
170,AFOM00170,ACT009,HFC-SRI,26/03/17 17:14,28/03/17 17:14,RETRY-STARTED,1
171,AFOM00171,ACT001,FTTN-SRI,27/03/17 15:40,29/03/17 15:40,RETRY-FAILURE,2
172,AFOM00172,ACT005,FTTN-SRI,29/03/17 03:53,31/03/17 03:53,RETRY-SUCCESS,3
173,AFOM00173,ACT005,FTTN-SRI,29/03/17 10:37,31/03/17 10:37,CREATED,
174,AFOM00174,ACT004,HFC-SRI,24/03/17 04:17,26/03/17 04:17,CLOSED-FAILURE,
175,AFOM00175,ACT004,HFC-SRI,22/03/17 00:58,24/03/17 00:58,ERROR,
176,AFOM00176,ACT010,PNI,21/03/17 23:54,23/03/17 23:54,RETRY-SUCCESS,2
177,AFOM00177,ACT002,HFC-SRI,22/03/17 08:31,24/03/17 08:31,RETRY-SUCCESS,3
178,AFOM00178,ACT006,HFC-SRI,21/03/17 06:51,23/03/17 06:51,CREATED,
179,AFOM00179,ACT010,PNI,22/03/17 07:40,24/03/17 07:40,ERROR,
180,AFOM00180,ACT007,PNI,22/03/17 15:05,24/03/17 15:05,RETRY-STARTED,3
181,AFOM00181,ACT002,HFC-SRI,27/03/17 14:56,29/03/17 14:56,RETRY-SUCCESS,2
182,AFOM00182,ACT009,HFC-SRI,27/03/17 12:42,29/03/17 12:42,RETRY-SUCCESS,3
183,AFOM00183,ACT006,HFC-SRI,26/03/17 05:34,28/03/17 05:34,CLOSED-FAILURE,
184,AFOM00184,ACT007,PNI,27/03/17 16:45,29/03/17 16:45,ERROR,
185,AFOM00185,ACT007,PNI,27/03/17 11:21,29/03/17 11:21,RETRY-STARTED,3
186,AFOM00186,ACT004,HFC-SRI,24/03/17 09:04,26/03/17 09:04,CLOSED-SUCCESSFUL,
187,AFOM00187,ACT003,PNI,25/03/17 20:26,27/03/17 20:26,RETRY-SUCCESS,3
188,AFOM00188,ACT008,FTTN-SRI,21/03/17 12:27,23/03/17 12:27,CREATED,
189,AFOM00189,ACT009,HFC-SRI,23/03/17 06:40,25/03/17 06:40,CLOSED-FAILURE,
190,AFOM00190,ACT003,PNI,24/03/17 20:49,26/03/17 20:49,CREATED,
191,AFOM00191,ACT009,HFC-SRI,26/03/17 22:25,28/03/17 22:25,RETRY-FAILURE,1
192,AFOM00192,ACT001,FTTN-SRI,28/03/17 15:29,30/03/17 15:29,RETRY-SUCCESS,1
193,AFOM00193,ACT010,PNI,28/03/17 18:27,30/03/17 18:27,RETRY-FAILURE,1
194,AFOM00194,ACT008,FTTN-SRI,25/03/17 10:11,27/03/17 10:11,CLOSED-SUCCESSFUL,
195,AFOM00195,ACT007,PNI,21/03/17 22:32,23/03/17 22:32,ERROR,
196,AFOM00196,ACT010,PNI,26/03/17 11:07,28/03/17 11:07,CLOSED-FAILURE,
197,AFOM00197,ACT004,HFC-SRI,26/03/17 08:13,28/03/17 08:13,RETRY-STARTED,3
198,AFOM00198,ACT009,HFC-SRI,20/03/17 11:45,22/03/17 11:45,STARTED,
199,AFOM00199,ACT007,PNI,26/03/17 16:26,28/03/17 16:26,STARTED,
200,AFOM00200,ACT001,FTTN-SRI,28/03/17 19:53,30/03/17 19:53,RETRY-FAILURE,1
201,AFOM00201,ACT008,FTTN-SRI,24/03/17 23:25,26/03/17 23:25,ERROR,
202,AFOM00202,ACT010,PNI,26/03/17 11:43,28/03/17 11:43,RETRY-SUCCESS,2
203,AFOM00203,ACT006,HFC-SRI,24/03/17 05:40,26/03/17 05:40,CLOSED-FAILURE,
204,AFOM00204,ACT005,FTTN-SRI,27/03/17 22:43,29/03/17 22:43,CREATED,
205,AFOM00205,ACT010,PNI,23/03/17 07:16,25/03/17 07:16,STARTED,
206,AFOM00206,ACT005,FTTN-SRI,20/03/17 02:05,22/03/17 02:05,ERROR,
207,AFOM00207,ACT002,HFC-SRI,29/03/17 11:07,31/03/17 11:07,CLOSED-FAILURE,
208,AFOM00208,ACT004,HFC-SRI,24/03/17 01:34,26/03/17 01:34,CLOSED-SUCCESSFUL,
209,AFOM00209,ACT006,HFC-SRI,28/03/17 21:14,30/03/17 21:14,CLOSED-FAILURE,
210,AFOM00210,ACT003,PNI,24/03/17 18:59,26/03/17 18:59,CLOSED-FAILURE,
211,AFOM00211,ACT005,FTTN-SRI,22/03/17 16:14,24/03/17 16:14,RETRY-FAILURE,2
212,AFOM00212,ACT009,HFC-SRI,23/03/17 21:00,25/03/17 21:00,RETRY-FAILURE,3
213,AFOM00213,ACT001,FTTN-SRI,25/03/17 12:29,27/03/17 12:29,CREATED,
214,AFOM00214,ACT007,PNI,23/03/17 20:25,25/03/17 20:25,CREATED,
215,AFOM00215,ACT004,HFC-SRI,25/03/17 20:47,27/03/17 20:47,CREATED,
216,AFOM00216,ACT002,HFC-SRI,20/03/17 04:32,22/03/17 04:32,STARTED,
217,AFOM00217,ACT007,PNI,22/03/17 04:47,24/03/17 04:47,STARTED,
218,AFOM00218,ACT002,HFC-SRI,19/03/17 14:17,21/03/17 14:17,ERROR,
219,AFOM00219,ACT008,FTTN-SRI,19/03/17 18:11,21/03/17 18:11,RETRY-STARTED,2
220,AFOM00220,ACT003,PNI,25/03/17 23:31,27/03/17 23:31,ERROR,
221,AFOM00221,ACT001,FTTN-SRI,20/03/17 19:44,22/03/17 19:44,CREATED,
222,AFOM00222,ACT001,FTTN-SRI,22/03/17 21:42,24/03/17 21:42,RETRY-SUCCESS,2
223,AFOM00223,ACT003,PNI,20/03/17 18:11,22/03/17 18:11,STARTED,
224,AFOM00224,ACT009,HFC-SRI,21/03/17 03:35,23/03/17 03:35,CLOSED-FAILURE,
225,AFOM00225,ACT005,FTTN-SRI,24/03/17 08:54,26/03/17 08:54,CLOSED-SUCCESSFUL,
226,AFOM00226,ACT009,HFC-SRI,24/03/17 10:53,26/03/17 10:53,RETRY-SUCCESS,1
227,AFOM00227,ACT006,HFC-SRI,23/03/17 15:53,25/03/17 15:53,CREATED,
228,AFOM00228,ACT010,PNI,21/03/17 08:47,23/03/17 08:47,STARTED,
229,AFOM00229,ACT009,HFC-SRI,24/03/17 18:18,26/03/17 18:18,CLOSED-SUCCESSFUL,
230,AFOM00230,ACT003,PNI,25/03/17 16:04,27/03/17 16:04,RETRY-FAILURE,3
231,AFOM00231,ACT001,FTTN-SRI,21/03/17 02:17,23/03/17 02:17,RETRY-SUCCESS,3
232,AFOM00232,ACT004,HFC-SRI,27/03/17 19:42,29/03/17 19:42,CLOSED-FAILURE,
233,AFOM00233,ACT008,FTTN-SRI,20/03/17 15:58,22/03/17 15:58,CLOSED-SUCCESSFUL,
234,AFOM00234,ACT002,HFC-SRI,20/03/17 12:51,22/03/17 12:51,RETRY-STARTED,2
235,AFOM00235,ACT008,FTTN-SRI,23/03/17 02:10,25/03/17 02:10,CLOSED-SUCCESSFUL,
236,AFOM00236,ACT004,HFC-SRI,25/03/17 09:41,27/03/17 09:41,CLOSED-SUCCESSFUL,
237,AFOM00237,ACT003,PNI,26/03/17 04:10,28/03/17 04:10,RETRY-FAILURE,2
238,AFOM00238,ACT008,FTTN-SRI,19/03/17 17:16,21/03/17 17:16,RETRY-STARTED,3
239,AFOM00239,ACT003,PNI,28/03/17 19:13,30/03/17 19:13,CLOSED-SUCCESSFUL,
240,AFOM00240,ACT003,PNI,28/03/17 03:45,30/03/17 03:45,RETRY-FAILURE,2
241,AFOM00241,ACT001,FTTN-SRI,21/03/17 22:37,23/03/17 22:37,ERROR,
242,AFOM00242,ACT009,HFC-SRI,21/03/17 01:50,23/03/17 01:50,CLOSED-FAILURE,
243,AFOM00243,ACT003,PNI,25/03/17 19:23,27/03/17 19:23,RETRY-FAILURE,2
244,AFOM00244,ACT009,HFC-SRI,24/03/17 07:37,26/03/17 07:37,ERROR,
245,AFOM00245,ACT005,FTTN-SRI,24/03/17 21:47,26/03/17 21:47,CLOSED-SUCCESSFUL,
246,AFOM00246,ACT004,HFC-SRI,27/03/17 02:16,29/03/17 02:16,RETRY-FAILURE,1
247,AFOM00247,ACT004,HFC-SRI,28/03/17 14:10,30/03/17 14:10,CREATED,
248,AFOM00248,ACT010,PNI,25/03/17 12:03,27/03/17 12:03,STARTED,
249,AFOM00249,ACT006,HFC-SRI,26/03/17 11:19,28/03/17 11:19,CREATED,
250,AFOM00250,ACT005,FTTN-SRI,28/03/17 19:43,30/03/17 19:43,STARTED,
251,AFOM00251,ACT002,HFC-SRI,22/03/17 09:10,24/03/17 09:10,RETRY-SUCCESS,1
252,AFOM00252,ACT002,HFC-SRI,23/03/17 16:18,25/03/17 16:18,RETRY-SUCCESS,3
253,AFOM00253,ACT010,PNI,25/03/17 03:37,27/03/17 03:37,RETRY-SUCCESS,2
254,AFOM00254,ACT007,PNI,24/03/17 22:32,26/03/17 22:32,CLOSED-SUCCESSFUL,
255,AFOM00255,ACT006,HFC-SRI,27/03/17 15:14,29/03/17 15:14,ERROR,
256,AFOM00256,ACT006,HFC-SRI,21/03/17 12:29,23/03/17 12:29,CREATED,
257,AFOM00257,ACT006,HFC-SRI,20/03/17 06:32,22/03/17 06:32,RETRY-STARTED,3
258,AFOM00258,ACT009,HFC-SRI,21/03/17 13:10,23/03/17 13:10,RETRY-STARTED,3
259,AFOM00259,ACT010,PNI,26/03/17 08:09,28/03/17 08:09,RETRY-STARTED,3
260,AFOM00260,ACT008,FTTN-SRI,27/03/17 04:31,29/03/17 04:31,CLOSED-FAILURE,
261,AFOM00261,ACT008,FTTN-SRI,24/03/17 14:15,26/03/17 14:15,RETRY-FAILURE,1
262,AFOM00262,ACT006,HFC-SRI,23/03/17 07:37,25/03/17 07:37,RETRY-FAILURE,2
263,AFOM00263,ACT005,FTTN-SRI,22/03/17 22:34,24/03/17 22:34,RETRY-STARTED,2
264,AFOM00264,ACT009,HFC-SRI,25/03/17 12:22,27/03/17 12:22,RETRY-SUCCESS,1
265,AFOM00265,ACT010,PNI,20/03/17 22:27,22/03/17 22:27,CREATED,
